आफ्रिकाखण्डः	Африка
पञ्चमहालमण्डलम्	Панчмахал
उत्तरसिक्किममण्डलम्	Северный Сикким
मुरैना	Морена (Индия)
गौतमबुद्धनगरमण्डलम्	Гаутамбудхнагар
यादगिरिमण्डलम्	Ядгир (округ)
बीदरमण्डलम्	Бидар (округ)
धारवाडमण्डलम्	Дхарвад (округ)
नर्मदामण्डलम्	Нармада (округ)
सोलापुरमण्डलम्	Солапур (округ)
नाशिकमण्डलम्	Нашик (округ)
चन्द्रपुरमण्डलम्	Чандрапур (округ)
जळगावमण्डलम्	Джалгаон (округ)
नैनितालमण्डलम्	Найнитал (округ)
कोल्हापुरमण्डलम्	Колхапур (округ)
सुरतमण्डलम्	Сурат (округ)
सहारनपुरमण्डलम्	Сахаранпур (округ)
पुणेमण्डलम्	Пуна (округ)
जुनागढमण्डलम्	Джунагадх (округ)
नवसारीमण्डलम्	Навсари (округ)
बागपतमण्डलम्	Багхпат (округ)
नागपुरमण्डलम्	Нагпур (округ)
चमोलीमण्डलम्	Чамоли
बरेलीमण्डलम्	Барели (округ)
धुळेमण्डलम्	Дхулия (округ)
परभणीमण्डलम्	Парбхани (округ)
आणन्द	Ананд (город, Гуджарат)
गडचिरोलीमण्डलम्	Гадчироли (округ)
यवतमाळमण्डलम्	Яватмал (округ)
वाशिममण्डलम्	Вашим (округ)
जालनामण्डलम्	Джална (округ)
दक्षिण सिक्किम् मण्डलः	Южный Сикким
रुद्रप्रयागमण्डलम्	Рудрапраяг (округ)
अल्मोडामण्डलम्	Алмора (округ)
ऊधमसिंहनगरमण्डलम्	Удхам-Сингх-Нагар
नुवापाद मण्डलम्	Нуапада (округ)
औरैयामण्डलम्	Аурайя (округ)
सीतापुरमण्डलम्	Ситапур (округ)
बहरैचमण्डलम्	Бахрайч (округ)
शाहजहानपुरमण्डलम्	Шахджаханпур (округ)
भण्डारामण्डलम्	Бхандара (округ)
फैजाबादमण्डलम्	Файзабад (округ)
महोबा	Махоба
महामायानगरमण्डलम्	Махамаянагар
रायसेनमण्डलम्	Райсен (округ)
राजकोटमण्डलम्	Раджкот (округ)
विदिशामण्डलम्	Видиша (округ)
बदांयूमण्डलम्	Бадаун (округ)
पाटणमण्डलम्	Патан (округ)
बैतूलमण्डलम्	Бетул (округ)
इटावामण्डलम्	Этавах (округ)
बागेश्वरमण्डलम्	Багешвар (округ)
महोबामण्डलम्	Махоба (округ)
रामपुरमण्डलम्	Рампур (округ)
सिद्धार्थनगरमण्डलम्	Сиддхартханагар
देहरादूनमण्डलम्	Дехрадун (округ)
मैनपुरीमण्डलम्	Майнпури (округ)
बारा	Баран (город)
राजपीपळा	Раджпипла
पुरी मण्डलम्	Пури (округ)
साइहामण्डलम्	Сайха (округ)
राजगढमण्डलम्	Раджгарх (округ)
कुशीनगरमण्डलम्	Кушинагар (округ)
गान्धारी	Гандхари (Махабхарата)
हेलियोदर स्तम्भः	Колонна Гелиодора
पश्चिममेदिनीपुर-मण्डलम्	Западный Миднапур
दावणगेरेमण्डलम्	Давангере (округ)
मन्दसौरमण्डलम्	Мандсаур (округ)
काळहंदि मण्डलम्	Калаханди
रि-भोई	Ри-Бхои
अम्रोहामण्डलम्	Джьотибапхуленагар
मण्डीमण्डलम्	Манди (округ)
फर्रुकाबादमण्डलम्	Фаррукхабад (округ)
पङ्कज आडवाणी	Адвани, Панкай
मयूर्भंझ् मण्डलम्	Маюрбхандж
पूर्व-इम्फालमण्डलम्	Восточный Импхал
गोन्दियामण्डलम्	Гондия (округ)
जैनतियाहिल्स्	Горы Джайнтия (округ)
उत्तरत्रिपुरामण्डलम्	Северная Трипура
शिमलामण्डलम्	Шимла (округ)
नवसारी	Навсари
महेसाणा	Мехсана
नवादा	Навада
गोण्डामण्डलम्	Гонда (округ)
बिजनौरमण्डलम्	Биджнор (округ)
उन्नावमण्डलम्	Уннао (округ)
झान्सीमण्डलम्	Джханси (округ)
पूर्व खासिहिल्स्	Восточные горы Кхаси
पिथौरागढमण्डलम्	Питхорагарх (округ)
सन्तकबीरनगरमण्डलम्	Санткабирнагар
श्रावस्तीमण्डलम्	Шравасти (округ)
वलसाडमण्डलम्	Валсад (округ)
फतेहपुरमण्डलम्	Фатехпур (округ)
कौशाम्बीमण्डलम्	Каушамби
फिरोझाबादमण्डलम्	Фирозабад (округ)
गजपति मण्डलम्	Гаджапати
कोरापुट् मण्डलम्	Корапут (округ)
ऐजोलमण्डलम्	Аиджал (округ)
ललितपुरमण्डलम्	Лалитпур (округ, Уттар-Прадеш)
कोलासिबमण्डलम्	Коласиб (округ)
लुङ्गलैमण्डलम्	Лунглеи (округ)
पश्चिमत्रिपुरामण्डलम्	Западная Трипура
बलरामपुरमण्डलम्	Балрампур (округ)
ढॆण्कनाल् मण्डलम्	Дхенканал (округ)
लातूरमण्डलम्	Латур (округ)
मोहाली	Мохали
उत्तरकाशी	Уттаркаши
शृङ्गेरी	Шрингери
दौसा	Дауса
२०१३	Список умерших в 2013 году
भारविः	Бхарави
आहवा	Ахва
व्यारा	Вьяра
चम्पायमण्डलम्	Чампхай (округ)
ओणम्	Онам
करञ्जवृक्षः	Каранджа
स्तोत्रकाव्यम्	Стотра
शन्तनुः	Шантану
घटोत्कचः	Гхатоткача
नकुलः	Накула
भरतः(रामायणम्)	Бхарата (Рамаяна)
बिभीतकीवृक्षः	Бибхитаки
वर्गः:हिन्दुधर्मः	Категория:Индуизм
छिन्दवाडामण्डलम्	Чхиндвара (округ)
विचित्रवीर्यः	Вичитравирья
कुम्भकर्णः	Кумбхакарна
सुग्रीवः	Сугрива
गुप्तलिपिः	Гупта (письмо)
शकुनिः	Шакуни
'भारतं त्यजन्तु' आन्दोलनम्	Августовское движение
दशरथः	Дашаратха
विदुरः	Видура
ओडिशी	Одисси
भासः	Бхаса
गङ्गवंशः	Династия Западных Гангов
कासगञ्ज	Касгандж
उत्तराखण्डस्य मण्डलानि	Список округов Уттаракханда
गुरु तेगबहादुर	Бахадур, Тегх
रायगडमण्डलम्(महाराष्ट्रम्)	Райгад (округ)
महेसाणामण्डलम्	Мехсана (округ)
हमीरपुरमण्डलम्, उत्तरप्रदेशः	Хамирпур (округ, Уттар-Прадеш)
उत्तरदिनाजपुर-मण्डलम्	Северный Динаджпур
खटक् मण्डलम्	Катака (округ)
बालेश्वर् मण्डलम्	Баласор (округ)
देवासमण्डलम्	Девас (округ)
याज्ञवल्‍क्‍यस्मृतिः	Яджнавалкья-смрити
शिवपुरी	Шивпури
गुना	Гуна (Индия)
धर्मस्थलम्	Дхармастала
व्यासपूर्णिमा	Гуру-пурнима
त्यागराजः	Тьягараджа
उडुपी	Храм Кришны в Удипи
अश्वत्थामा	Ашваттхама
सहदेवः	Сахадева
कृपः	Крипа
रघुवंशम्	Рагхувамша
कौसल्या	Каушалья
कैकेयी	Кайкейи
शारदालिपिः	Шарада (письмо)
मार्कण्डेयपुराणम्	Маркандея-пурана
निरुक्तम्	Нирукта
चिल्का सरोवरम्	Чилика
मालदामण्डलम्	Малда (округ)
दक्षिणदेहलीमण्डलम्	Южный Дели
पश्चिम खासिहिल्स्	Западные горы Кхаси
अष्टमठाः	Ашта-матхи Удупи
शाहजहानपुरम्	Шахджаханпур
निष्क्रमणसंस्कारः	Нишкрамана
जातकर्मसंस्कारः	Джатакарман
सीमन्तोन्नयनसंस्कारः	Симантоннаяна
ग्वालियरमण्डलम्	Гвалиор (округ)
झाबुआमण्डलम्	Джхабуа (округ)
मुम्बई-उपनगर-मण्डलम्	Пригородный округ Мумбаи
सागरमण्डलम्	Сагар (округ)
केन्दुझर् मण्डलम्	Кендуджхар (округ)
खण्डवामण्डलम्	Кхандва (округ)
पूर्वगारोहिल्स्-मण्डलम्	Восточные горы Гаро
शहडोलमण्डलम्	Шахдол (округ)
पौडीगढवालमण्डलम्	Паури-Гархвал
कान्धमाल् मण्डलम्	Кандхамал
हमीररपुरमण्डलम्, हिमाचलप्रदेशः	Хамирпур (округ, Химачал-Прадеш)
सेरसिपमण्डलम्	Серчхип (округ)
लौङ्गत्लायमण्डलम्	Лавнгтлай (округ)
धलाइमण्डलम्	Дхалай
रुद्रप्रयागः	Рудрапраяг
महेश् बाबु	Махеш Бабу
हिङ्गोलीमण्डलम्	Хинголи (округ)
अमरावती (आन्ध्रप्रदेशः)	Амаравати (Индия)
जाजपुर मण्डलम्	Джаджпур (округ)
बीरभूममण्डलम्	Бирбхум (округ)
बांकुडामण्डलम्	Банкура (округ)
कलकातामण्डलम्	Колката (округ)
जालौनमण्डलम्	Джалаун (округ)
चित्रकूटमण्डलम्	Читракут (округ)
कानपुरनगरमण्डलम्	Канпур (округ)
कंसः	Камса
आमेतसवृक्षः	Гарциния индийская
बुरहानपुरमण्डलम्	Бурханпур (округ)
यानम् मण्डलम्	Янам (округ)
बडवानीमण्डलम्	Барвани (округ)
बान्दामण्डलम्	Банда (округ)
मङ्गलयानम्	Мангальян
हरदामण्डलम्	Харда (округ)
पौषमासः	Пауша
धनूराशिः	Стрелец (знак зодиака)
दतियामण्डलम्	Датия (округ)
सिवनीमण्डलम्	Сеони (округ)
उत्तरप्रदेशस्य मण्डलानि	Округа Уттар-Прадеш
अशोकनगरमण्डलम्	Ашокнагар (округ)
पौडी	Паури
गोधूमपिष्टम्	Пшеничная мука
टिहरी	Нью-Тихри
पिथौरागढ	Питхорагарх
श्रावणमासः	Шравана
श्रीशैलम्	Шрисайлам
देवघर् मण्डलम्	Деогарх (округ, Орисса)
हरिद्वारमण्डलम्	Хардвар (округ)
खरगौनमण्डलम्	Кхаргон (округ)
मैनपुरी	Майнпури
किन्नौरमण्डलम्	Киннаур
पाकुरमण्डलम्	Пакур (округ)
सुन्दरगर् मण्डलम्	Сундаргарх (округ)
सीहोरमण्डलम्	Сехор (округ)
शिवपुरीमण्डलम्	Шивпури (округ)
कुमाऊंविभागः	Кумаон
धारमण्डलम्	Дхар (округ)
अनूपपुरमण्डलम्	Ануппур (округ)
नागौर	Нагаур
रतलाममण्डलम्	Ратлам (округ)
केन्द्रपारमण्डलम्	Кендрапара (округ)
उनामण्डलम्	Уна (округ)
गिरिडीहमण्डलम्	Гиридих (округ)
गढवामण्डलम्	Гархва (округ)
दक्षिण २४ परगणामण्डलम्	Южные 24 парганы
पश्चिम-गारो-हिल्स्-मण्डलम्	Западные горы Гаро
दक्षिण-गारो-हिल्स्-मण्डलम्	Южные горы Гаро
बारामण्डलम्	Баран (округ)
मञ्झानपुरम्	Манджханпур
पडरौना	Падарауна
मुरैनामण्डलम्	Морена (округ)
नरसिंहपुरमण्डलम्	Нарсингхпур (округ)
पन्नामण्डलम्	Панна (округ)
मण्डलामण्डलम्	Мандла (округ)
भिण्डमण्डलम्	Бхинд (округ)
नीमचमण्डलम्	Нимуч (округ)
वल्लभाचार्यः	Валлабха
अद्वैतवेदान्तः	Адвайта-веданта
मन्वन्तरम्	Манвантара
अग्निपुराणम्	Агни-пурана
अक्षौहिणी	Акшаухини
पुरुषार्थः	Пурушартха
अर्थः	Артха
भगिनी निवेदिता	Сестра Ниведита
गदगमण्डलम्	Гадаг (округ)
भाद्रपदमासः	Бхадрапада
मत्स्यपुराणम्	Матсья-пурана
न्यायसूत्राणि	Ньяя-сутры
बौद मण्डलम्	Баудх (округ)
चैत्रमासः	Чайтра
मुजफ्फरनगरम्	Музаффарнагар (округ)
नयागर् मण्डलम्	Наягарх (округ)
मुकेशः	Мукеш
एडकल्लुगुहाः	Пещеры Эдаккал
मुदुमलै अभयारण्यम्	Мудумалай (национальный парк)
महाकविः माघः	Магха
दक्षिणदिबाङ्गव्यालीमण्डलम्	Нижняя долина Дибанг
दक्षिणपश्चिमदेहलीमण्डलम्	Юго-Западный Дели
कल्पः	Кальпа (веданга)
कर्णाटकस्य मण्डलानि	Список округов Карнатаки
गरुडपुराणम्	Гаруда-пурана
द्रुपदः	Друпада
उत्तरा	Уттара
सञ्जयः	Санджая
निम्बार्काचार्यः	Нимбарка
सम्पातिः	Сампати
ब्रह्मवैवर्तपुराणम्	Брахмавайварта-пурана
ज्येष्ठमासः	Джьештха
आश्रमव्यवस्था	Ашрама
नबरंगपुर मण्डलम्	Набарангпур (округ)
डिण्डोरीमण्डलम्	Диндори (округ)
नेपाल: भूगोल	География Непала
सच्चिदानन्दवात्स्यायनः	Агьея
भगीरथः	Бхагиратха
त्र्यम्बकेश्वरः	Тримбакешвар
नागपञ्चमी	Нагапанчами
वाक्तत्त्वम्	Вач
बनवासी	Банаваси
गोण्डा	Гонда (Индия)
तृश्शूरमण्डलम्	Триссур (округ)
प्रीतलता वादेदार	Ваддедар, Притилата
राजसमन्द	Раджсаманд
संस्कृतम्- भारतस्य सांस्कृतिकभाषा	Список имён Кришны
तामाङ भाषा	Таманг (язык)
तमिळ्नाडुराज्यस्य मण्डलानि	Список округов Тамилнада
कुरुङ्गकुमेमण्डलम्	Курунг-Кумей
टीकमगढमण्डलम्	Тикамгарх (округ)
छतरपुरमण्डलम्	Чхатарпур (округ)
सीधीमण्डलम्	Сидхи (округ)
शाजापुरमण्डलम्	Шаджапур (округ)
गुजरातराज्यस्य मण्डलानि	Список округов Гуджарата
राजस्थानस्य मण्डलानि	Список округов Раджастхана
श्वेताश्वतरोपनिषत्	Шветашватара-упанишада
वैशाखी पर्व	Вайсакхи
असमराज्यस्य मण्डलानि	Список округов Ассама
अरुणाचलप्रदेशस्य मण्डलानि	Список округов Аруначал-Прадеш
सौबल	Зарядка
आदिपर्व	Адипарва
माघमासः	Магха (месяц)
ब्रह्मपुराणम्	Брахма-пурана
तिरुनल्लूर करुणाकरन्	Карунакаран, Тьируналлур
श्रावस्ती	Шравасти
दमोहमण्डलम्	Дамох (округ)
खलिलाबाद्, भारतम्	Кхалилабад
सीधी	Сидхи (город)
ग्वालियर् दुर्गम्	Гвалиор (крепость)
स्कन्दपुराणम्	Сканда-пурана
कोलारमण्डलम्	Колар (округ)
भानुभक्त आचार्य	Бханубхакта Ачарья
इरुळजनाङ्गः	Ирула
वेदान्तः	Веданта
लिङ्गपुराणम्	Линга-пурана
आनन्दवर्धनः	Анандавардхана
सारिस्का मृगधाम	Сариска (национальный парк)
लोनार् क्रेटर्	Лонар
चूडाकर्मसंस्कारः	Чудакарана
अन्नप्राशनसंस्कारः	Аннапрашана
नामकरणसंस्कारः	Намакарана
समावर्तनसंस्कारः	Самавартана
बान्दा, उत्तरप्रदेशः	Банда (город)
सतनामण्डलम्	Сатна (округ)
रायगडामण्डलम् (ओड़िशा)	Раягада (округ)
भविष्यपुराणम्	Бхавишья-пурана
नलः	Нала (индуизм)
कुमारसम्भवम्	Кумарасамбхава
पुंसवनसंस्कारः	Пумсавана
शिक्षा	Шикша (веданга)
बन्नेरुघट्ट-राष्ट्रिय उद्यानम्	Баннергхатта (национальный парк)
उद्योगपर्व	Удьйогапарва
अग्निहोत्रम्	Агнихотра
बिहारराज्यस्य मण्डलानि	Список округов Бихара
अरण्यपर्व	Араньякапарва
मालविकाग्निमित्रम्	Малавикагнимитрам
पुरुषसूक्तम्	Пуруша-сукта
नामदेव	Намдев
अमरकोशः	Амара-коша
पद्मपुराणम्	Падма-пурана
अनुराधा	Анурадха
गृहमन्त्रालयः	Министерство внутренних дел Индии
सुरेन्द्रनगरम्	Сурендранагар
नागानन्दम्	Нагананда
भारतीयवित्तमन्त्रालयः	Министерство финансов Индии
अमावस्या	Амавасья
गुल्बर्गामण्डलम्	Гулбарга (округ)
वेम्बनाड् सरोवरम्	Вембанад
सत्यव्रतशास्त्री	Шастри, Сатьяврат
अलीराजपुरमण्डलम्	Алираджпур (округ)
मेलुकोटे	Мелукоте
अन्त्येष्टिसंस्कारः	Антьешти
लल्लेश्वरी	Лал-дэд
कलशः	Калаша (индуизм)
सिङ्गरौलीमण्डलम्	Синграули (округ)
विक्रमोर्वशीयम्	Викраморваши
षष्ठीपूजा	Чхатх
ऋतुसंहारम्	Ритусамхара
गुरु रामानन्द	Рамананда
माहेश्वरसूत्राणि	Шива-сутры Панини
गर्भाधानसंस्कारः	Гарбхадхана
जम्मूकाश्मीरराज्यस्य मण्डलानि	Округа Джамму и Кашмира
नवरत्नानि	Наваратна
अर्जुनवृक्षः	Кукубха
उपनयनसंस्कारः	Упанаяна
वैशाखमासः	Вайшакха
अलवर	Алвар
महाराणा प्रताप	Махарана Пратап
अष्टावक्रः	Аштавакра
चरकसंहिता	Чарака-самхита
जाती	Мускатник душистый
फाल्गुनमासः	Пхальгуна
पञ्चगव्यम्	Панчагавья
कारवारम्	Карвар
कोचबिहारमण्डलम्	Куч-Бихар (округ)
चन्दौली	Чандаули
चन्दौलीमण्डलम्	Чандаули (округ)
हमीरपुरम्, उत्तरप्रदेशः	Хамирпур (город, Уттар-Прадеш)
जैमिनिः	Джаймини
तिलः	Кунжут индийский
मण्ड्यमण्डलम्	Мандья (округ)
विश्वामित्रः	Вишвамитра
मल्लिनाथः (तीर्थङ्करः)	Малинатха
जम्मू	Джамму
भजगोविन्दम्	Бхаджа-говиндам
औष्ण्यमालिन्यम्	Тепловое загрязнение
वर्गः:महाद्वीपः	Категория:Континенты
विराटः	Вирата (Махабхарата)
हनूमज्जयन्ती	Хануман-джаянти
पीलीभीतमण्डलम्	Пилибхит (округ)
कुलुमण्डलम्	Куллу (округ)
सोलन् मण्डलम्	Солан (округ)
जामनगरमण्डलम्	Джамнагар (округ)
निष्पावप्रभेदः	Зелёностручковая фасоль
मुरुडेश्वरम्	Мурудешвара
मान्धातृ	Мандхатри
अनंतनाथः	Анантнатха
देवेन्द्रनाथ ठाकुर	Тагор, Дебендранатх
द्वैतदर्शनम्	Двайта-веданта
भारतपाकिस्थानयुद्धम्	Индо-пакистанский конфликт
गुण्टूरुमण्डलम्	Гунтур
राष्ट्रियजनतादलम्	Раштрия джаната дал
फलकम्:Solar System	Шаблон:Солнечная система
विकिपीडिया:लेखशीर्षकः	Википедия:Именование статей
ख्	Кхакар
घ्	Гхакар
आन्ध्रप्रदेशस्य मण्डलानाम् आवलिः	Список округов Андхра-Прадеш
विक्रमादित्यः (नौयानम्)	Викрамадитья (авианосец)
विभीषणः	Вибхишана
यल्लाप्रगडसुब्बरावः	Суббарао, Йеллапрагада
बिलियर्ड्स्-क्रीडा	Бильярд
श्यामाप्रसाद मुखोपाध्याय	Мукерджи, Шьяма Прасад
कल्पना दत्त	Датта, Калпана
युगादिः	Угади
अक्षयतृतीया	Участник:Кот на крыше/Акшая Тритья
शिव नैपाल	Найпол, Шива
मैक्रोनीशिया	Микронезия
कैलाश सत्यार्थी	Сатьяртхи, Кайлаш
राजनाथ सिंह	Сингх, Раджнатх
अरुण शौरी	Шоури, Арун
शत्रुघ्नः	Шатругхна
नाऩ् कटवुळ् (चलच्चित्रम्)	Я — бог
विशिष्टाद्वैतवेदान्तः	Вишишта-адвайта
फलकम्:Location map India Kerala	Шаблон:ПозКарта Индия Керала
फलकम्:Location map India Punjab	Шаблон:ПозКарта Индия Пенджаб
फलकम्:Location map India West Bengal	Шаблон:ПозКарта Индия Западная Бенгалия
कर्णपर्व	Карнапарва
रवि शङ्कर प्रसाद	Прасад, Рави Шанкар
लगध	Лагадха
बिजापुरम्	Биджапур (город)
भीमः	Бхима
वासुपूज्यः	Васупуджья
Chanakya	Катастрофа
मयूरः	Павлины
वर्गः:देश	Категория:Страны
कच्छमरुभूमिः	Качский Ранн
विकिपीडिया:प्रबंधक	Википедия:Администраторы
विकिपीडियासम्भाषणम्:प्रबन्धकः	Википедия:Заявки на статус администратора
वर्गः:AutoWikiBrowser	Википедия:AutoWikiBrowser
ईजिप्तदेशः	Египет
रवीन्द्रप्रभात:	Равиндрой Прабхата
केशान्तसंस्कारः	Кешанта
भारतीयक्रीडामन्त्रालयः	Министерство по делам молодёжи и спорта Индии
फलकम्:Bot	Шаблон:Bot
केनडा	Канада
वर्गः:निर्वाचित लेख	Категория:Википедия:Избранные статьи
वाली	Вали (Рамаяна)
इ	Храсва и
५२ शक्तिपीठानि	Шактипитха
वर्गः:युरोपखण्डः	Категория:Европа
फलकम्:Documentation	Шаблон:Doc
वर्गः:Delete	Категория:Википедия:Удаление страниц
विकिपीडिया:स्तम्भपञ्चकम्	Википедия:Пять столпов
विकिपीडिया:उल्लेख्यता	Википедия:Значимость
विकिपीडिया:प्रयोक्तृ-पेटिकाः	Википедия:Юзербоксы
सङ जेगी	Сон Джэги
फलकम्:Softredirect	Шаблон:Soft redirect
फलकम्:अपाक्रियताम्	Шаблон:К быстрому удалению
वर्गः:विकिपीडिया	Категория:Википедия
विकिपीडिया:General disclaimer	Википедия:Отказ от ответственности
विकिपीडिया:शैलीपुस्तकम्	Википедия:Оформление статей
फलकम्:Navbox	Шаблон:Navbox
कङ्गारू	Кенгуру
गहनचिकित्साविभागः	Отделение реанимации и интенсивной терапии
मालकानगिरिमण्डलम्	Малкангири (округ)
फलकम्:Citation needed	Шаблон:Нет источника
बुद्धपूर्णिमा	День рождения Будды
फलकम्:Error	Шаблон:Error
फलकम्:Tnavbar	Шаблон:Tnavbar
फलकम्:Code	Шаблон:Code
फलकम्:Sc	Шаблон:Smallcaps
फलकम्:Clear	Шаблон:Clear
फलकम्:Col-break	Шаблон:Столбец
फलकम्:Col-begin	Шаблон:Столбцы
फलकम्:Col-end	Шаблон:Столбцы/конец
फलकम्:Nowrap	Шаблон:Nobr
विकिपीडिया:प्रारम्भिक-विषयाः	Википедия:Список статей, которые должны быть во всех языковых версиях
फलकम्:Wikisource	Шаблон:Викитека
फलकम्:Babel	Шаблон:Babel
फलकम्:Commons	Шаблон:Commons
फलकम्:Reflist	Шаблон:Примечания
फलकम्:अपूर्णलेखः	Шаблон:Заготовка
फलकम्:User az	Шаблон:User az
फलकम्:See also	Шаблон:См. также
फलकम्:User da	Шаблон:User da
फलकम्:User de	Шаблон:User de
फलकम्:User de-1	Шаблон:User de-1
फलकम्:User eu	Шаблон:User eu
फलकम्:User el	Шаблон:User el
फलकम्:User es	Шаблон:User es
फलकम्:User en-3	Шаблон:User en-3
फलकम्:User en-1	Шаблон:User en-1
फलकम्:User en-2	Шаблон:User en-2
फलकम्:User en-4	Шаблон:User en-4
फलकम्:User fi	Шаблон:User fi
फलकम्:User en	Шаблон:User en
फलकम्:User fr-1	Шаблон:User fr-1
फलकम्:User hi-1	Шаблон:User hi-1
फलकम्:User hr	Шаблон:User hr
फलकम्:User hu	Шаблон:User hu
फलकम्:User ja	Шаблон:User ja
फलकम्:User fr	Шаблон:User fr
फलकम्:Intricate template	Шаблон:Эзотерика
फलकम्:Mod	Шаблон:Mod
फलकम्:NowCommons	Шаблон:Перенесено на Викисклад
फलकम्:User it	Шаблон:User it
फलकम्:User uk	Шаблон:User uk
फलकम्:Infobox football club	Шаблон:Карточка ФК
फलकम्:स्वागतम्	Шаблон:Приветствие
फलकम्:भ्रातृपरियोजनाः	Шаблон:Сообщество Википедии
फलकम्:Country data Belgium	Шаблон:Флагификация/Бельгия
फलकम्:आङ्ग्लमासस्य शीर्षम्	Шаблон:Месяцы
फलकम्:Country data Czech Republic	Шаблон:Флагификация/Чехия
फलकम्:राष्ट्रतथ्यानि थाइलैंड	Шаблон:Флагификация/Таиланд
फलकम्:Country data Indonesia	Шаблон:Флагификация/Индонезия
फलकम्:Country data ROC	Шаблон:Флагификация/Китайская Республика
फलकम्:Country data Denmark	Шаблон:Флагификация/Дания
फलकम्:राष्ट्रतथ्यानि पोलैंड	Шаблон:Флагификация/Польша
फलकम्:Cc-by-sa-3.0	Шаблон:CC-BY-SA-3.0
फलकम्:Wikivar	Шаблон:Wikivar
फलकम्:राष्ट्रतथ्यानि नार्वे	Шаблон:Флагификация/Норвегия
फलकम्:Country data RSA	Шаблон:Флагификация/ЮАР
फलकम्:Official	Шаблон:Официальный сайт
फलकम्:Country data Sri Lanka	Шаблон:Флагификация/Шри-Ланка
फलकम्:अफ्रीकाखण्डः	Шаблон:Страны Африки
फलकम्:Infobox writer	Шаблон:Писатель
फलकम्:Country data United Arab Emirates	Шаблон:Флагификация/ОАЭ
फलकम्:Infobox musical artist	Шаблон:Музыкант
फलकम्:Country data AUS	Шаблон:Флагификация/Австралия
फलकम्:Infobox football biography	Шаблон:Футболист
फलकम्:Wait	Шаблон:Редактирую
फलकम्:Infobox magazine	Шаблон:Журнал
फलकम्:Infobox chess biography	Шаблон:Шахматист
फलकम्:Fontcolor	Шаблон:Oncolor
फलकम्:देश	Шаблон:Государство
फलकम्:Infobox software	Шаблон:Карточка программы
फलकम्:Infobox Airline	Шаблон:Карточка авиакомпании
फलकम्:Wide image	Шаблон:Панорама
फलकम्:Country data Austria	Шаблон:Флагификация/Австрия
फलकम्:Infobox military conflict	Шаблон:Вооружённый конфликт
फलकम्:Str left	Шаблон:Str left
फलकम्:Country data Nepal	Шаблон:Флагификация/Непал
फलकम्:Country data Finland	Шаблон:Флагификация/Финляндия
फलकम्:Audio	Шаблон:Audio
फलकम्:Country data Egypt	Шаблон:Флагификация/Египет
फलकम्:Country data Lithuania	Шаблон:Флагификация/Литва
फलकम्:Infobox Indian political party	Шаблон:Партия
फलकम्:Country data Japan	Шаблон:Флагификация/Япония
फलकम्:S-start	Шаблон:Start box
फलकम्:Age in years and days	Шаблон:Age in years and days
फलकम्:Nom	Шаблон:Nom
फलकम्:Facebook	Шаблон:Facebook
फलकम्:Cleanup	Шаблон:Чистить
फलकम्:Infobox scientist	Шаблон:Учёный
फलकम्:Country data Czechoslovakia	Шаблон:Флагификация/Чехословакия
फलकम्:Country data Vietnam	Шаблон:Флагификация/Вьетнам
फलकम्:S-aft	Шаблон:S-aft
फलकम्:Featured article	Шаблон:Избранная статья
फलकम्:Country data Russia	Шаблон:Флагификация/Россия
फलकम्:Box-Header	Шаблон:Box-header
फलकम्:Infobox award	Шаблон:Карточка награды
वर्गः:User en-2	Категория:User en-2
फलकम्:Infobox	Шаблон:Карточка
फलकम्:User zh	Шаблон:User zh
लोन्गडिङ्गमण्डलम्	Лонгдинг (округ)
फलकम्:Sp	Шаблон:Espace
फलकम्:Template other	Шаблон:Template other
फलकम्:Cite web	Шаблон:Cite web
वर्गः:जीवचरितम्	Категория:Персоналии по алфавиту
फलकम्:Imdb title	Шаблон:Imdb title
फलकम्:Cc-by-2.5	Шаблон:CC-BY-2.5
फलकम्:Won	Шаблон:Награда
फलकम्:Notice	Шаблон:Notice
फलकम्:Pp-template	MediaWiki:Protectedpagetext
फलकम्:विकिकोशः	Шаблон:Викисловарь
फलकम्:Infobox music festival	Шаблон:Музыкальный фестиваль
फलकम्:Infobox settlement	Шаблон:НП
शतवेधी	Цимбопогон
फलकम्:User ru	Шаблон:User ru
फलकम्:IPA	Шаблон:IPA1
फलकम्:वैदिकविज्ञानम्	Шаблон:Махабхарата
महालय अमावास्या	Питри-пакша
फलकम्:GFDL	Шаблон:GFDL
फलकम्:Country data Soviet Union	Шаблон:Флагификация/СССР
फलकम्:राष्ट्रतथ्यानि भारतम्	Шаблон:Флагификация/Индия
फलकम्:Category redirect	Шаблон:Переименованная категория
फलकम्:Infobox Officeholder	Шаблон:Государственный деятель
फलकम्:Sisterlinks	Шаблон:Навигация
फलकम्:Infobox protected area	Шаблон:Заповедная зона
फलकम्:Cc-by-sa-2.5	Шаблон:CC-BY-SA-2.5
फलकम्:Border	Шаблон:Граница
फलकम्:Death date and age	Шаблон:Умер
फलकम्:MONTHNUMBER	Шаблон:MONTHNUMBER
फलकम्:Topicon	Шаблон:Right-uppermost image
वर्गः:राष्ट्रतथ्यानि फलकानि	Категория:Шаблоны:Флагификация
फलकम्:Country data China	Шаблон:Флагификация/Китай
फलकम्:Country data Cyprus	Шаблон:Флагификация/Кипр
फलकम्:Country data Malaysia	Шаблон:Флагификация/Малайзия
फलकम्:Infobox book	Шаблон:Издание
