ਅਫ਼ਰੀਕਾ	Африка
ਸਿਆਚਿਨ ਬਖੇੜਾ	Сиаченский конфликт
ਨੁਬਰਾ ਘਾਟੀ	Нубра (долина)
ਇਲਾਹਾਬਾਦ ਯੂਨੀਵਰਸਿਟੀ	Аллахабадский университет
ਉੜੀਸੀ	Одисси
ਉੱਤਰੀ ਅਮਰੀਕਾ (ਖੇਤਰ)	Северная Америка (регион)
S ਬੈਂਡ	S-диапазон
ਗੁਰੂ ਤੇਗ ਬਹਾਦਰ ਜੀ	Бахадур, Тегх
ਉੱਤਰ-ਪੂੰਜੀਵਾਦ	Посткапитализм
ਦਿੱਲੀ ਦਰਵਾਜ਼ਾ (ਲਾਹੌਰ)	Делийские ворота (Лахор)
ਨਾਰੰਗੀ (ਗੁੰਝਲ ਖੋਲ੍ਹ ਸਫ਼ਾ)	Orange (значения)
ਹਿੰਮਤ ਐਕਸਪ੍ਰੇਸਵੇ	Шоссе Хеммат
ਰਘੂਪਤੀ ਰਾਘਵ ਰਾਜਾਰਾਮ	Рагхупати Рагхава Раджа Рам
ਗਤੀ	Прямолинейное движение
ਅਜੀਤਗੜ੍ਹ ਜ਼ਿਲ੍ਹਾ	Мохали (округ)
ਯੂ ਸ੍ਰੀਨਿਵਾਸ	У. Шринивас
ਇੰਦਰਜੀਤ	Индраджит
ਜ਼ੀ ਟੀਵੀ	Zee TV
ਕੌਸ਼ਲਿਆ	Каушалья
ਪਰੀਕਸ਼ਿਤ	Парикшит
ਕੈਕੇਈ	Кайкейи
ਸੁਮਿਤੱਰਾ	Сумитра
ਬੰਗਾਲ ਦੀ ਵੰਡ (1905)	Первый раздел Бенгалии
ਨਿਰੁਕਤ ਸ੍ਰੀ ਗੁਰੂ ਗਰੰਥ ਸਾਹਿਬ	Нирукта
ਚਿਲਕਾ ਝੀਲ	Чилика
ਸਿਤਾਰਾ-ਏ-ਇਮਤਿਆਜ਼	Орден «Ситара-и-имтияз»
ਪਿਆਸਾ (1957 ਫ਼ਿਲਮ)	Жажда (фильм, 1957)
ਹਾਜੀ ਮੁਰਾਦ	Хаджи-Мурат (повесть)
ਵਿਸ਼ਵ ਰੰਗਮੰਚ ਦਿਵਸ	Всемирный день театра
ਕੁਮਕੁਮ	Кумкум
ਪਦਮਾਵਤ	Падмават
ਕੋਡਰਮਾ ਜਿਲ੍ਹਾ	Кодерма (округ)
ਸਹਿਕਾਰਤਾ ਸਮੁੰਦਰ	Море Содружества
ਪਾਣੀਪੱਤ ਜ਼ਿਲਾ	Панипат (округ)
ਫਰੀਦਾਬਾਦ ਜ਼ਿਲਾ	Фаридабад (округ)
ਹਮੀਰਪੁਰ ਜ਼ਿਲਾ, ਹਿਮਾਚਲ ਪ੍ਰਦੇਸ਼	Хамирпур (округ, Химачал-Прадеш)
ਸੇਰਛਿਪ ਜ਼ਿਲਾ	Серчхип (округ)
ਥੌਬਲ ਜ਼ਿਲਾ	Тхоубал (округ)
ਲਾਂਗਤਲਾਈ ਜ਼ਿਲਾ	Лавнгтлай (округ)
ਅੰਬਾਲਾ ਜ਼ਿਲਾ	Амбала (округ)
ਰੁਦਰ ਪ੍ਰਯਾਗ	Рудрапраяг
ਕਾਰਗਿਲ	Каргил
ਚਿਤਰਕੂਟ ਜ਼ਿਲ੍ਹਾ	Читракут (округ)
ਕਾਨਪੁਰ ਜ਼ਿਲ੍ਹਾ	Канпур (округ)
ਰੋਡਾਸਲ	Рёдосель
ਉਕਾਬ	Орлиные
ਸਵਦੇਸ਼ੀ ਅੰਦੋਲਨ	Свадеши
ਸਰੂ ਦਰਿਆ	Суру (приток Шинго)
ਜਾਰਜ ਅਬਰਾਹਮ ਗਰੀਅਰਸਨ	Грирсон, Джордж Абрахам
ਕੋਰਦੋਬਾ ਦਾ ਰੋਮਨ ਪੁੱਲ	Римский мост (Кордова)
ਨੁੱਕੜ ਨਾਟਕ	Уличный театр
ਕੇਂਦੁਝਰ	Кендуджхар
ਮੰਗਲ ਉਪਗ੍ਰਹਿ ਮਿਸ਼ਨ	Мангальян
ਆਗਰਾ ਅਤੇ ਅਵਧ ਸੰਯੁਕਤ ਪ੍ਰਾਂਤ	Соединённые провинции Агра и Ауд
ਰੋਜਰ ਏਟਕਿੰਸਨ ਪ੍ਰਾਯਰ	Приор, Роджер
ਭਾਜੜ	Давка
ਲੇਖਕ ਦੀ ਮੌਤ	Смерть автора
ਦਾਦਾ ਸਾਹਿਬ ਫਾਲਕੇ ਇਨਾਮ	Премия имени Дадасахеба Фальке
੧੯੫੬ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਭਾਰਤ	Индия на летних Олимпийских играх 1956
ਧਨੂ ਰਾਸ਼ੀ	Стрелец (знак зодиака)
ਸੰਗਿਆਨ	Познание
ਮੇਵਾਤ ਜ਼ਿਲਾ	Меват (округ)
ਫਰਮਾ:Lang-ta	Шаблон:Lang-ta
ਕੀ ਕਰਨਾ ਲੋੜੀਏ? (ਨਾਵਲ)	Что делать? (роман)
ਵੈਸਟਰਬੌਟਨ-ਕੁਰੀਰੈਨ	Västerbottens-Kuriren
ਪਰਿੰਦਿਆਂ ਦੀ ਕਾਨਫਰੰਸ	Беседа птиц
ਹਾਫ਼ਿਜ਼ਾਬਾਦ ਜ਼ਿਲ੍ਹਾ	Хафизабад (округ)
ਬਹਾਵਲਪੁਰ ਜ਼ਿਲ੍ਹਾ	Бахавалпур (округ)
ਆਈ. ਐੱਨ. ਐੱਸ. ਵਿਕਰਾਂਤ	Викрант (авианосец, 1945)
ਕਿਨੌਰ ਜ਼ਿਲਾ	Киннаур
ਊਮੇਡਾਲੇਨ ਸਕਲਪਚਰਪਾਰਕ	Скульптурный парк Умедален
ਬੋਕਾਰੋ ਜਿਲਾ	Бокаро (округ)
ਤਰਨ ਤਾਰਨ ਜ਼ਿਲਾ	Тарн-Таран
ਸੇਨਾਪਤੀ ਜ਼ਿਲਾ	Сенапати (округ)
ਤਮੇਂਗਲਾਂਗ ਜ਼ਿਲਾ	Таменглонг (округ)
ਉਨਾ ਜ਼ਿਲਾ	Уна (округ)
ਫ਼ਤੇਹਾਬਾਦ ਜ਼ਿਲਾ	Фатехабад (округ)
ਰੇਵਾੜੀ ਜ਼ਿਲਾ	Ревари (округ)
ਚੰਡੇਲ ਜ਼ਿਲਾ	Чандел (округ)
ਦ ਵਾਈਟ ਟਾਈਗਰ	Белый тигр (Адига)
ਪਾਪੂਆ ਅਤੇ ਨਿਊ ਗਿਨੀ ਦਾ ਰਾਜਖੇਤਰ	Территория Папуа — Новая Гвинея
ਨਾਗ	Кобра
ਲਾਲ ਕਿਤਾਬ (ਜੁੰਗ)	Красная книга (Юнг)
ਕਾਂਕੇਰ ਜ਼ਿਲਾ	Канкер (округ)
ਚਕਵਾਲ ਜ਼ਿਲ੍ਹਾ	Чаквал (округ)
ਕੀਪ ਕੂਲ (ਫਿਲਮ)	Сохраняй спокойствие
ਜਾਵੇਦ ਅਖ਼ਤਰ	Ахтар, Джавед
ਵਾਨਰ	Ванара
ਤਾਸ਼ਕੰਤ ਐਲਾਨਨਾਮਾ	Ташкентская декларация (1966)
ਰਾਜਕੁਮਾਰ ਗੁਸਤਾਵ ਅਡੋਲਫ਼ ਸਮੁੰਦਰ	Море Густава-Адольфа
ਬਾਰਾਂ ਜ਼ਿਲ੍ਹਾ	Баран (округ)
ਹਰੇਕ ਤੋਂ ਸਮਰਥਾ ਅਨੁਸਾਰ, ਹਰੇਕ ਨੂੰ ਲੋੜ ਮੁਤਾਬਿਕ	От каждого по его способности, каждому — по его труду
ਅਚਿਉਤ ਦੇਵ ਰਾਏ	Ачьютадеварайя Тулува
ਦੇਵ ਰਾਏ ੨	Деварайя II Сангама
ਕਬੰਧਾ	Кабандха
ਮਹੇਸ਼ ਭੱਟ	Бхатт, Махеш
ਗੱਤਕਾ	Гатка
ਬਦਿਨ ਜ਼ਿਲ੍ਹਾ	Бадин (округ)
ਸਾਂਤੀਆਗੋ ਵੱਡਾ ਗਿਰਜਾਘਰ	Собор Бильбао
ਵਿਸ਼ਵ ਓਜ਼ੋਨ ਦਿਵਸ	Международный день охраны озонового слоя
ਵਜ਼ੀਰ ਖਾਨ ਮਸਜਿਦ	Мечеть Вазир Хана
ਪੀਰ ਪੰਜਾਲ	Пир-Панджал
ਸਪਰੇਟਾ	Обрат
ਰੁਸਲਾਨ ਅਤੇ ਲੁਦਮਿਲਾ	Руслан и Людмила
ਨਨਕਾਣਾ ਸਾਹਿਬ	Нанкана-Сахиб
ਬਰਨਾਲਾ ਜ਼ਿਲ੍ਹਾ	Барнала (округ)
ਅਗਨੀ ਪੁਰਾਣ	Агни-пурана
ਸਿਸਟਰ ਨਿਵੇਦਿਤਾ	Сестра Ниведита
ਮੰਥਰਾ	Мантхара
ਵਲਾਥੋਲ ਨਾਰਾਇਣ ਮੈਨਨ	Валлатхол
ਉਰਮਿਲਾ	Урмила
ਸ਼ਿਖੰਡੀ	Шикханди
ਐੱਲ ਬੈਂਡ	L-диапазон
ਸ਼ਾਈਲਾਕ	Шейлок
੧੯੭੨ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਭਾਰਤ	Индия на летних Олимпийских играх 1972
ਰਤੀ	Рати
ਨੇਪਾਲੀ ਸਾਹਿਤ	Непальская литература
ਮੁਕੇਸ਼	Мукеш
ਫ਼ੋਰਵੋ	Forvo
ਗੁਰਦੁਆਰਾ ਬੰਗਲਾ ਸਾਹਿਬ	Гурдвара Бангла Сахиб
ਦੂਬਰੋਵਸਕੀ	Дубровский (роман)
ਬਰਤਾਨਵੀ ਭਾਰਤ	Провинции Британской Индии
ਸ਼ਾਵਾਰਸ਼ ਕਾਰਾਪੇਤਿਆਨ	Карапетян, Шаварш Владимирович
ਦਰੁਪਦ	Друпада
ਯੁਯੁਤਸੁ	Юютсу
ਸਪਤਰਿਸ਼ੀ (ਹਿੰਦੂ ਧਰਮ)	Саптариши
ਸੰਪਾਤੀ	Сампати
ਪਹਿਲਵਾਨੀ	Кушти
ਨਾਸਿਰੁੱਦੀਨ ਮਹਿਮੂਦ	Насир ад-дин Махмуд-шах I
ਕੁੱਤੇ ਵਾਲੀ ਮਹਿਲਾ	Дама с собачкой
ਵਿਹਾੜੀ ਜ਼ਿਲਾ	Вихари (округ)
ਮੁਰਸੀਆ ਵੱਡਾ ਗਿਰਜਾਘਰ	Собор в Мурсии
ਆਈਲੈਂਡ (ਨਾਵਲ)	Остров (роман)
ਸਚਿਦਾਨੰਦ ਵਾਤਸਾਇਨ	Агьея
ਬਾਗੜੀ	Багри (язык)
ਪੰਡਤ ਜਸਰਾਜ	Пандит Джасрадж
ਗੈਡਫਲਾਈ	Овод (роман)
ਫ਼ਾਈਲ਼ ਹਿੱਪੋ	FileHippo
ਨਿਜ਼ਾਮੁੱਦੀਨ ਔਲੀਆ	Низамуддин Аулия
ਫੋਰਟ ਵਿਲੀਅਮ ਕਾਲਜ	Колледж Форт-Уильяма
ਇਰਾਕ ਅਤੇ ਅਲ ਸ਼ਾਮ ਵਿੱਚ ਇਸਲਾਮੀ ਰਾਜ	Исламское государство Ирака и Леванта
ਵਿੱਦਿਆਪਤੀ	Видьяпати
ਪ੍ਰੀਤੀਲਤਾ ਵਾਦੇਦਾਰ	Ваддедар, Притилата
ਸ਼ੌਰਸੇਨੀ	Шаурасени
ਅਖਰੋਟ (ਰੁੱਖ)	Орех (растение)
ਦਾ ਲੇਡੀ ਆਫ਼ ਦਾ ਲੇਕ	Дева озера (поэма)
ਵਿਸਾਖੀ	Вайсакхи
ਉਸਮਾਨਾਬਾਦ	Османабад
ਯਮਕ ਅਲੰਕਾਰ	Антанаклазис
ਦ ਆਇਰਨ ਹੀਲ	Железная пята (роман)
ਮੁਹੰਮਦ ਕੁੱਲੀ ਕੁਤਬ ਸ਼ਾਹ	Мухаммад Кули Кутб-шах
ਲੰਗਰ	Лангар
ਅਧਿਰਥ	Адхиратха
ਵੱਡਾ ਬੇਵਕੂਫ ਸਿਧਾਂਤ	Теория большего дурака
ਮਰੀਚ	Марича
ਹਰਕਤ-ਉਲ-ਮੁਜਾਹਿਦੀਨ	Харакат уль-Муджахидин
ਸੁਭਾਸ਼ ਘਈ	Гхай, Субхаш
ਨਾਨਾ ਪਾਟੇਕਰ	Патекар, Нана
ਮਦਦ:ਰੂਸੀ ਲਈ IPA	Таблица МФА для русского языка
ਗਵਾਲੀਅਰ ਕਿਲ੍ਹਾ	Гвалиор (крепость)
ਅਹਿਮਦ ਸਰਹਿੰਦੀ	Ахмад Сирхинди
ਪੋਰਟਰੇਟ (ਗੋਗੋਲ ਦੀ ਕਹਾਣੀ)	Портрет (повесть)
ਮਾਂਡਵੀ	Мандави
ਵੀਕ ਵੱਡਾ ਗਿਰਜਾਘਰ	Собор Апостола Петра (Вик)
ਸ਼ਰੂਤਕੀਰਤੀ	Шрутакирти
ਕੋਲਾਰ ਜ਼ਿਲ੍ਹਾ	Колар (округ)
ਵੇਦਾਂਤ	Веданта
ਕ੍ਰਿਪਸ ਮਿਸ਼ਨ	Миссия Криппса
K ਬੈਂਡ	K-диапазон
ਫਿਲਮ ਨਿਰਦੇਸ਼ਕ	Кинорежиссёр
ਆਈ ਐਮ ਕਿਊਬਾ	Я — Куба
ਵਿਸ਼ਵ ਹਿੰਦੂ ਪਰਿਸ਼ਦ	Вишва хинду паришад
ਲਿਪਾਂਕ	Графема
ਆਨੰਦਵਰਧਨ	Анандавардхана
ਆਸਕਰ ਵਾਓ ਦੀ ਸੰਖੇਪ ਅਸਚਰਜ ਜ਼ਿੰਦਗੀ	Короткая и удивительная жизнь Оскара Уао
ਹੁਮਾ	Хумайя (мифология)
ਅਰਥ (1998 ਫ਼ਿਲਮ)	Земля (фильм, 1998)
ਹੇਮੂ	Хему
ਜੰਮੂ ਕਸ਼ਮੀਰ ਲਿਬਰੇਸ਼ਨ ਫਰੰਟ	Фронт освобождения Джамму и Кашмира
ਸਬਾਹੂ	Субаху
ਸਵਰਾਜ	Сварадж
ਕਾਨੂ ਸਾਨਿਆਲ	Саньял, Кану
ਮਾਨਸਾ	Манса (город, Индия)
ਕਿਰਪਾਨ	Кирпан
ਚੁਰਾਚਾਂਦਪੁਰ ਜ਼ਿਲ੍ਹਾ	Чурачандпур (округ)
ਅਕਬਰਨਾਮਾ	Акбар-наме
ਮਿਸਲ	Мисаль
ਨਵ ਜਮਹੂਰੀਅਤ	Новая демократия (теория)
ਜਾਦਵਪੁਰ ਯੂਨੀਵਰਸਿਟੀ	Джадавпурский университет
ਗਰੈਵਿਟੀ	Гравитация (фильм)
ਪਰਾਹਸਤ	Прахаста
ਅਤਿਕਾਯਾ	Атикая
ਅਕਸ਼ੈਕੁਮਾਰ	Акшаякумара
ਨਲ	Нала (индуизм)
ਅਗਨਿਹੋਤਰ	Агнихотра
ਰਾਣਾ ਸਾਂਗਾ	Санграм Сингх
ਕਸ਼ਮੀਰ ਦਾ ਇਤਹਾਸ	История Кашмира
ਸਿਕੰਦਰ ਲੋਧੀ	Сикандар-шах Лоди
ਮਾਲਵਿਕਾਗਨਿਮਿਤਰਮ	Малавикагнимитрам
ਚੌਰੀ ਚੌਰਾ	Чаури-Чаура
ਭਗਤ ਨਾਮਦੇਵ	Намдев
੧੯੬੪ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਭਾਰਤ	Индия на летних Олимпийских играх 1964
੧੯੬੮ ਓਲੰਪਿਕ ਖੇਡਾਂ ਦੇ ਵਿੱਚ ਭਾਰਤ	Индия на летних Олимпийских играх 1968
ਰੌਬਿਨ ਸ਼ਰਮਾ	Шарма, Робин
ਲਾ ਬੈਲ ਦੈਮ ਸੌਂ ਮੈਰਸੀ	La Belle Dame sans Merci
ਮਿਰਜ਼ਾ ਤੁਰਸਨਜ਼ੋਦਾ	Турсун-Заде, Мирзо
ਸਵਰਾਜ ਪਾਰਟੀ	Партия свараджа
ਭਾਰਤ ਦਾ ਜ਼ਾਮਨੀ ਅਤੇ ਵਟਾਂਦਰਾ ਬੋਰਡ	Совет по ценным бумагам и биржам Индии
﻿ਗੁਰਦੁਆਰਾ ਪੰਜਾ ਸਾਹਿਬ	Панджа-Сахиб
ਚਾਰਲਸ ਹੋਕਤ	Хоккет, Чарльз
ਅਸਲੀ ਇਨਸਾਨ ਦੀ ਕਹਾਣੀ	Повесть о настоящем человеке
ਲੀਨਾਰੇਸ ਮਹਿਲ	Дворец Линарес
ਭਾਰਤੇਂਦੂ ਹਰੀਸ਼ਚੰਦਰ	Харишчандра, Бхаратенду
ਪੰਜਾਬ (ਬਰਤਾਨਵੀ ਭਾਰਤ)	Пенджаб (Британская Индия)
ਕੁਲੀਨ ਘਰਾਣਾ	Дворянское гнездо
ਪੇਰੀਯਾਰ ਨਦੀ	Перияр (река)
ਭਗਤ ਰਵਿਦਾਸ	Равидас
ਯੋਜਨਾ ਕਮਿਸ਼ਨ (ਭਾਰਤ)	Комиссия по планированию (Индия)
ਬੰਗਲਾਪੀਡੀਆ	Банглапедия
ਖ਼ੁਦੀ ਰਾਮ ਬੋਸ	Бос, Кхудирам
ਤ੍ਰਿਵੇਣੀ ਸੰਗਮ	Сангам
ਚੰਡੀਦਾਸ	Чандидас
ਟੋਭਾ ਟੇਕ ਸਿੰਘ	Тоба-Тек-Сингх
ਬੋੜੋਲੈਂਡ ਦਾ ਕੌਮੀ ਜਮਹੂਰੀ ਫਰੰਟ	Национально-демократический фронт Бодоланда
ਸ਼ੀਸ਼ ਪਰੀ	Грета Ото
ਸਾਨ ਤੇਲਮੋ ਮਹਿਲ	Дворец Сан-Тельмо
ਲੱਲੇਸ਼ਵਰੀ	Лал-дэд
ਕਰਵਾ ਚੌਥ	Карва-чаутх
ਕਲਸ਼	Калаша (индуизм)
ਪੰਜ ਪ੍ਰਯਾਗ	Панч-праяг
ਹਰਿਆਣੇ ਦੇ ਜ਼ਿਲੇ	Список округов Харьяны
ਕੇਸ	Кеш (сикхи)
ਤਾੜਕਾ	Татака
ਨੌਦੁਰਗਾ	Навадурга
ਅੰਗਰੇਜ਼ੀ ਕਾਵਿ	Английская поэзия
ਭਗਤ ਰਾਮਾਨੰਦ	Рамананда
ਅਣਖ ਖ਼ਾਤਰ ਕਤਲ	Убийство чести
ਲੌਸ ਦੁਐਞਾਸ ਕਾਨਵੈਂਟ	Лас-Дуэньяс (Саламанка)
ਸਾਇਬ ਤਬਰੇਜ਼ੀ	Саиб Тебризи
ਵਲਾਦੀਮੀਰ ਚੇਰਤਕੋਵ	Чертков, Владимир Григорьевич
ਅਰਜੁਨ (ਰੁੱਖ)	Кукубха
ਮਹੂਆ	Мадука длиннолистная
ਬਿਰਸਾ ਮੰਡਾ	Бирса Мунда
ਡੀ ਡੀ ਕੌਸ਼ਾਂਬੀ	Косамби, Дамодар Дхармананд
ਅਲਵਰ	Алвар
ਮਹਾਂਰਾਣਾ ਪ੍ਰਤਾਪ	Махарана Пратап
ਅਸ਼ਟਾਵਕਰ	Аштавакра
ਮਾਯਾਸੁਰ	Майясура
ਚਰਕ ਸੰਹਿਤਾ	Чарака-самхита
ਰਾਵਣ ਹੱਥਾ	Рабанастр
ਪਲਵਲ ਜ਼ਿਲਾ	Палвал (округ)
ਐਮਰਜੈਂਸੀ (ਭਾਰਤ)	Чрезвычайное положение в Индии (1975—1977)
ਕਰਣ	Карна
ਮੰਜਾ	Раскладушка
ਕਿੰਤਸੂਗੀ	Кинцуги
ਬਹਲੂਲ ਲੋਧੀ	Бахлул-хан Лоди
ਅਤੁੱਲ ਗਵਾਂਡੇ	Гаванде, Атул
ਜੈਮਿਨੀ	Джаймини
ਤਿਲ	Кунжут индийский
ਵਿਸ਼ਵਾਮਿੱਤਰ	Вишвамитра
ਉਪੇਂਦਰਨਾਥ ਅਸ਼ਕ	Ашк Упендранатх
ਅਬੂ ਬੱਕਰ ਅਲ ਬਗਦਾਦੀ	Абу Бакр аль-Багдади
ਬੋਰਿਸ ਗੋਦੂਨੋਵ (1986 ਫਿਲਮ)	Борис Годунов (фильм, 1986)
ਜਤਿੰਦਰ ਨਾਥ ਦਾਸ	Дас, Джатиндранат
ਬਾਘਾ ਜਤਿਨ	Багха Джатин
ਸਾਂਤਾ ਮਾਰੀਆ ਦੇ ਵਿਤੋਰੀਆ ਗਿਰਜਾਘਰ	Санта-Мария-де-Витория
ਗੁਆਦਿਕਸ ਦਾ ਗਿਰਜਾਘਰ	Кафедральный собор Гуадикса
ਖ਼ੇਰੇਸ ਦੇ ਲਾ ਫ਼ਰੌਂਤੇਰਾ ਵੱਡਾ ਗਿਰਜਾਘਰ	Собор Хереса де ла Фронтера
ਸਾਮੋਰਾ ਵੱਡਾ ਗਿਰਜਾਘਰ	Саморский собор
ਸ਼੍ਰੇਣੀ:ਅਧਾਰ	Категория:Незавершённые статьи
ਸ਼੍ਰੇਣੀ:ਸੱਭਿਆਚਾਰ	Категория:Культура
ਸ਼੍ਰੇਣੀ:ਸਾਲ	Категория:Годы
"ਖੱਬੇ-ਪੱਖੀ" ਕਮਿਊਨਿਜਮ: ਇੱਕ ਬਚਗਾਨਾ ਰੋਗ	Детская болезнь «левизны» в коммунизме
ਮੰਛਰ ਝੀਲ	Манчар (озеро)
ਸੁਮਾਲੀ	Сумали
ਕੁੱਲੂ ਜ਼ਿਲਾ	Куллу (округ)
ਸੋਲਨ ਜ਼ਿਲਾ	Солан (округ)
ਰਾਜਾ ਹਰੀਸ਼ ਚੰਦਰ (ਫ਼ਿਲਮ)	Раджа Харишчандра
ਮਹਿਰੌਲੀ	Мехраули
ਅਰੁਣਧੰਤੀ (ਹਿੰਦੂ ਧਰਮ)	Арундхати
ਰਾਮਧਾਰੀ ਸਿੰਘ ਦਿਨਕਰ	Динкар
ਓਪਰੇਸ਼ਨ ਪੋਲੋ	Операция «Поло»
ਦੀਪਾ ਸਾਹੀ	Дипа Сахи
ਸ਼ੱਕਰ ਰੋਗ ਟਾਈਪ 2	Сахарный диабет 2-го типа
ਏਲੀਨੋਰ ਕੈਟਨ	Каттон, Элеонора
ਪਿੱਪਲ	Фикус священный
2012 ਬ੍ਰਿਕਸ ਸਿਖਰ ਸੰਮੇਲਨ	IV саммит БРИКС
ਪ੍ਰਾਣ (ਐਕਟਰ)	Пран
ਅਲਕਸਬਾ ਮਾਲਾਗਾ	Крепость Малага
ਅੰਗਦ	Ангада
ਕੋਲਿੰਦਾ ਗਰਾਬਾਰ-ਕਿਤਾਰੋਵਿਚ	Грабар-Китарович, Колинда
ਫਰਮਾ:ਸੂਰਜ ਮੰਡਲ	Шаблон:Солнечная система
ਸ਼ੁਕੰਤਲਾ ਦੇਵੀ	Деви, Шакунтала
ਸਰੋਜਿਨੀ ਸਾਹੂ	Сароджини Саху
ਰਾਖੀ ਗੁਲਜ਼ਾਰ	Гулзар, Ракхи
ਅਜਵਾਇਣ	Тимьян (приправа)
ਰੇਜ਼ਰ	Бритвенный станок
ਸਮਾਜਿਕ ਮੇਲ-ਜੋਲ ਸੇਵਾ	Социальная сеть
ਈਕੋ ਅਤੇ ਨਾਰਸੀਸਸ	Эхо и Нарцисс
ਨੈਪਥਾਲ	Нафтолы
ਲੋਨ ਸਰਵਾਇਵਰ	Уцелевший (фильм)
ਕਾਊਂਟ ਡਰੈਕੁਲਾ	Дракула
ਫਾਟਕ:ਭੂਗੋਲ	Портал:География
ਰੁਕਣਾ ਜੰਗਲ ਦੀ ਨਿਆਈਂ ਬਰਫ਼ੀਲੀ ਸ਼ਾਮ ਨੂੰ	Остановившись у леса снежным вечером
ਫ਼ਿਲਮ ਨਿਰਮਾਤਾ	Кинопродюсер
ਵਿਭੀਸ਼ਣ	Вибхишана
ਜੈਨੀਫ਼ਰ ਵਾਈਟ	Дженнифер Уайт
ਚੁੰਬਕਤਾ	Магнетизм
ਲੰਡਾ ਲਿੱਪੀਆਂ	Ланда (письмо)
ਮੀਆਂਵਾਲੀ	Миянвали
ਸੈਂਜ਼ੋ ਮੇਈਵਾ	Мейива, Сензо
ਚੀਚਾ ਵਤਨੀ	Чичаватни
ਹਾਊਸ ਆਫ਼ ਕਾਰਡਜ਼ (ਅਮਰੀਕੀ ਟੀਵੀ ਲੜੀਵਾਰ)	Карточный домик (телесериал)
ਸਿਆਮਾ ਪ੍ਰਸਾਦ ਮੁਖਰਜੀ	Мукерджи, Шьяма Прасад
ਅਨੁਸ਼ੀਲਨ ਸਮਿਤੀ	Анушилан Самити
ਅਮਰ ਸਿੰਘ (ਰਾਜਸੀ ਨੇਤਾ)	Сингх, Амар
ਸਰਿੰਦਰਨਾਥ ਬੈਨਰਜੀ	Банерджи, Сурендранатх
ਕਲਪਨਾ ਦੱਤ	Датта, Калпана
ਮੋਹਨਦਾਸ ਕਰਮਚੰਦ ਗਾਂਧੀ ਦੀ ਹੱਤਿਆ	Убийство Махатмы Ганди
ਯੂਸਫ਼ ਜੁਲੈਖਾ	Юсуф и Зулейха
ਤਾਰਕਨਾਥ ਦਾਸ	Дас, Таракнат
ਮਾਈਕ੍ਰੋਨੇਸ਼ੀਆ	Микронезия
ਖੜੀ ਬੋਲੀ	Кхари-боли
ਊਮਿਓ ਸੈਂਟਰਲ ਸਟੇਸ਼ਨ	Центральный вокзал Умео
ਵਿਸ	Ядовитые животные
ਰੰਗ-ਮੰਚ ਨਿਰਦੇਸ਼ਕ	Театральный режиссёр
ਵਿਕੀਪੀਡੀਆ:HotCat	Википедия:Гаджеты/HotCat
ਅਮਰ ਗੌਰਵ ਸਮਾਰਕ (ਕੀਵ)	Памятник Вечной Славы (Киев)
ਅਮਰਪਾਲੀ (1966 ਫ਼ਿਲਮ)	Амрапали (фильм)
ਕੈਲਾਸ਼ ਸਤਿਆਰਥੀ	Сатьяртхи, Кайлаш
ਰਾਮਮਨੋਹਰ ਲੋਹੀਆ	Лохия, Рамманохар
ਸ਼ਤਰੂਘਣ	Шатругхна
ਤਾਰਾ (ਰਾਮਾਇਣ)	Тара (Рамаяна)
ਸੂਰਿਆਕਾਂਤ ਤਰਿਪਾਠੀ 'ਨਿਰਾਲਾ'	Нирала Сурьякант Трипатхи
ਰਾਮ ਪੁਨਿਆਨੀ	Пунияни, Рам
ਨੈਸ਼ਨਲ ਪੁਸ਼ਕਿਨ ਮਿਊਜ਼ੀਅਮ	Всероссийский музей А. С. Пушкина
ਜੂਸੇਡਇਜਮ	Зоосадизм
ਵਸਤਰਬੋਟਨ ਮਿਊਜ਼ੀਅਮ	Музей Вестерботтена
ਭਾਰਤ ਦੀਆਂ ਆਮ ਚੋਣਾਂ 2014	Парламентские выборы в Индии (2014)
ਜਿਆ ਖਾਨ	Хан, Джиа
ਗਾਮਾ ਪਹਿਲਵਾਨ	Великий Гама
ਇੰਡੀਅਨ ਕੌਫ਼ੀ ਹਾਊਸ	Indian Coffee House
ਨੰਦਾ (ਅਭਿਨੇਤਰੀ)	Нанда (актриса)
ਦੌਲਤ ਸਿੰਘ ਕੋਠਾਰੀ	Котари, Даулат Сингх
ਕਿਰਕਬਰੋਨ, ਊਮਿਓ	Кюркброн
ਗਾਮਲਾ ਬਰੋਨ	Гамла (мост)
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਭਾਰਤ ਬਿਹਾਰ	Шаблон:ПозКарта Индия Бихар
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਭਾਰਤ ਜੰਮੂ ਅਤੇ ਕਸ਼ਮੀਰ	Шаблон:ПозКарта Индия Джамму и Кашмир
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਭਾਰਤ ਪੰਜਾਬ	Шаблон:ПозКарта Индия Пенджаб
