Африк	Африка
Ангилал:1811 онд төрөгсөд	Категория:Родившиеся в 1811 году
Ангилал:1811 онд нас барагсад	Категория:Умершие в 1811 году
Ангилал:1818 онд нас барагсад	Категория:Умершие в 1818 году
Ангилал:1828 онд нас барагсад	Категория:Умершие в 1828 году
Ангилал:1832 онд нас барагсад	Категория:Умершие в 1832 году
Ангилал:Хятадын нуур	Категория:Озёра Китая
Ангилал:1859 онд нас барагсад	Категория:Умершие в 1859 году
Ангилал:1865 онд нас барагсад	Категория:Умершие в 1865 году
Ангилал:1894 онд нас барагсад	Категория:Умершие в 1894 году
Ангилал:1898 онд нас барагсад	Категория:Умершие в 1898 году
Ангилал:1901 онд нас барагсад	Категория:Умершие в 1901 году
Ангилал:1906 онд нас барагсад	Категория:Умершие в 1906 году
Ангилал:1908 онд нас барагсад	Категория:Умершие в 1908 году
Ангилал:1912 онд нас барагсад	Категория:Умершие в 1912 году
Ангилал:1913 онд нас барагсад	Категория:Умершие в 1913 году
Ангилал:1914 онд нас барагсад	Категория:Умершие в 1914 году
Ангилал:1915 онд нас барагсад	Категория:Умершие в 1915 году
Ангилал:1918 онд нас барагсад	Категория:Умершие в 1918 году
Ангилал:1923 онд нас барагсад	Категория:Умершие в 1923 году
Ангилал:1932 онд өнгөрсөн	Категория:Умершие в 1932 году
Ангилал:1935 онд өнгөрсөн	Категория:Умершие в 1935 году
Ангилал:1936 онд өнгөрсөн	Категория:Умершие в 1936 году
Ангилал:1940 онд нас барагсад	Категория:Умершие в 1940 году
Ангилал:1941 онд нас барагсад	Категория:Умершие в 1941 году
Ангилал:1944 онд нас барагсад	Категория:Умершие в 1944 году
Ангилал:1953 онд нас барагсад	Категория:Умершие в 1953 году
Ангилал:1954 онд нас барагсад	Категория:Умершие в 1954 году
Ангилал:1955 онд нас барагсад	Категория:Умершие в 1955 году
Ангилал:1956 онд нас барагсад	Категория:Умершие в 1956 году
Ангилал:1957 онд нас барагсад	Категория:Умершие в 1957 году
Ангилал:1958 онд нас барагсад	Категория:Умершие в 1958 году
Ангилал:1964 онд нас барагсад	Категория:Умершие в 1964 году
Ангилал:1968 онд нас барагсад	Категория:Умершие в 1968 году
Ангилал:1970 онд нас барагсад	Категория:Умершие в 1970 году
Ангилал:1971 онд нас барагсад	Категория:Умершие в 1971 году
Ангилал:1973 онд нас барагсад	Категория:Умершие в 1973 году
Ангилал:1982 онд нас барагсад	Категория:Умершие в 1982 году
Ангилал:1983 онд нас барагсад	Категория:Умершие в 1983 году
Ангилал:1984 онд нас барагсад	Категория:Умершие в 1984 году
Ангилал:1987 онд нас барагсад	Категория:Умершие в 1987 году
Ангилал:1990 онд нас барагсад	Категория:Умершие в 1990 году
Ангилал:1995 онд нас барагсад	Категория:Умершие в 1995 году
Ангилал:Германы Бундеслиг	Категория:Чемпионат Германии по футболу
Ангилал:1996 онд нас барагсад	Категория:Умершие в 1996 году
Ангилал:1997 онд нас барагсад	Категория:Умершие в 1997 году
Ангилал:2000 онд нас барагсад	Категория:Умершие в 2000 году
Ангилал:2001 онд нас барагсад	Категория:Умершие в 2001 году
Ангилал:2002 онд нас барагсад	Категория:Умершие в 2002 году
Ангилал:2003 онд нас барагсад	Категория:Умершие в 2003 году
Ангилал:2004 онд нас барагсад	Категория:Умершие в 2004 году
Ангилал:2006 онд нас барагсад	Категория:Умершие в 2006 году
Алтанхуягийн Мөрөн	Мурун Алтанхуяг
Ангилал:Улсуудын эдийн засаг	Категория:Экономика по странам
Ангилал:Төрийн билэг тэмдгүүд	Категория:Государственные символы
Загвар:Country flag IOC alias AFG	Шаблон:СтранаОИ флаг AFG
Ангилал:Долгион	Категория:Волны
Ангилал:Арлын орнууд	Категория:Островные государства
Ангилал:Далайд гарцгүй орнууд	Категория:Страны, не имеющие выхода к морю
Ангилал:Өмнөд Солонгосын улс төр	Категория:Политика Южной Кореи
Ангилал:Шведийн улс төр	Категория:Политика Швеции
Загвар:Country IOC alias BIH	Шаблон:СтранаОИ BIH
Ангилал:Өмнөд Солонгосын эдийн засаг	Категория:Экономика Южной Кореи
Ангилал:Суринамын эдийн засаг	Категория:Экономика Суринама
Ангилал:Зимбабвегийн эдийн засаг	Категория:Экономика Зимбабве
Ангилал:Грекийн түүх	Категория:История Греции
Ангилал:Словакийн түүх	Категория:История Словакии
Ангилал:Армены түүх	Категория:История Армении
Ангилал:Азербайжаны түүх	Категория:История Азербайджана
Ангилал:Австралийн түүх	Категория:История Австралии
Ангилал:Чехийн түүх	Категория:История Чехии
Ангилал:Унгарын түүх	Категория:История Венгрии
Ангилал:Төв Азийн түүх	Категория:История Центральной Азии
Ангилал:Испанийн түүх	Категория:История Испании
Ангилал:Туркменистаны түүх	Категория:История Туркмении
Ангилал:Монгол улсын зэвсэгт хүчин	Категория:Вооружённые силы Монголии
Ангилал:Финландын цанын харайлтын тамирчид	Категория:Прыгуны с трамплина Финляндии
Ангилал:Зүүн Өмнөд Азийн түүх	Категория:История Юго-Восточной Азии
Ангилал:Шотландын философичид	Категория:Философы Шотландии
Ангилал:Швейцарийн философичид	Категория:Философы Швейцарии
Ангилал:Энэтхэгийн философичид	Категория:Философы Индии
Ангилал:Өвөр Монголын түүх	Категория:История Внутренней Монголии
Ангилал:Монголын спорт	Категория:Спорт в Монголии
Ангилал:Мөнгөний нэгжүүд	Категория:Валюты
Ангилал:Болгарын спорт	Категория:Спорт в Болгарии
Ангилал:Ираны спорт	Категория:Спорт в Иране
Ангилал:Японы спорт	Категория:Спорт в Японии
Ангилал:Шведийн биатлончид	Категория:Биатлонисты Швеции
Ангилал:Сенегалын хөлбөмбөг	Категория:Футбол в Сенегале
Ангилал:Сербийн хөлбөмбөг	Категория:Футбол в Сербии
Ангилал:Монгол орны газар зүй	Категория:География Монголии
Ангилал:Армены газарзүй	Категория:География Армении
Ангилал:Голууд	Категория:Реки
Ангилал:Узбекийн газар зүй	Категория:География Узбекистана
Ангилал:Индонезийн газарзүй	Категория:География Индонезии
Ангилал:Хойд Солонгосын газарзүй	Категория:География Корейской Народно-Демократической Республики
Ангилал:Туркийн газарзүй	Категория:География Турции
Ангилал:Египетийн газарзүй	Категория:Рельеф Египта
Ангилал:Унгарын газарзүй	Категория:География Венгрии
Загвар:User ko	Шаблон:User ko
Загвар:User ko-0	Шаблон:User ko-0
Загвар:User nl-0	Шаблон:User nl-0
Ангилал:Америкийн биохимичид	Категория:Биохимики США
Загвар:User no-1	Шаблон:User no-1
Загвар:User pl-2	Шаблон:User pl-2
Загвар:User pt	Шаблон:User pt
Загвар:User ru-0	Шаблон:User ru-0
Ангилал:Монгол орны гол мөрөн	Категория:Реки Монголии
Загвар:User ru-1	Шаблон:User ru-1
Ангилал:Испани орны гол мөрөн	Категория:Реки Испании
Ангилал:Иракийн голууд	Категория:Реки Ирака
Загвар:User tr-1	Шаблон:User tr-1
Загвар:User tr-3	Шаблон:User tr-3
Ангилал:Туркийн голууд	Категория:Реки Турции
Загвар:User zh-1	Шаблон:User zh-1
Загвар:User zh-4	Шаблон:User zh-4
Ангилал:Орон орны сансрын нисэгч нар	Категория:Космонавты по странам
Ангилал:Хятад улсын зам, тээвэр	Категория:Транспорт в Китае
Ангилал:Хиргисийн хүн	Категория:Персоналии:Киргизия
Ангилал:Узбекийн мэдээлэл холбоо	Категория:Связь в Узбекистане
Ангилал:Замби	Категория:Замбия
Ангилал:Монгол улсын орон нутаг	Категория:Административное деление Монголии
Ангилал:Сенегал	Категория:Сенегал
Ангилал:Монгол Улсын улс төр	Категория:Политика Монголии
Ангилал:Оросын түүх	Категория:История России
Ангилал:Спортын үндэсний шигшээ багууд	Категория:Сборные по странам
Ангилал:Сенегалын спорт	Категория:Спорт в Сенегале
Ангилал:Испанийн спорт	Категория:Спорт в Испании
Загвар:Country data Belize	Шаблон:Флагификация/Белиз
Ангилал:Финландын спорт	Категория:Спорт в Финляндии
Загвар:Country data Bashkortostan	Шаблон:Флагификация/Башкортостан
Ангилал:Зимбабве	Категория:Зимбабве
Ангилал:Хөлбөмбөг Монгол улсад	Категория:Футбол в Монголии
Ангилал:Азербайжаны хөлбөмбөг	Категория:Футбол в Азербайджане
Загвар:Country data Yugoslavia	Шаблон:Флагификация/Югославия
Ангилал:Английн хөлбөмбөг	Категория:Футбол в Англии
Ангилал:Гватемалын газарзүй	Категория:География Гватемалы
Ангилал:Никарагуагийн газарзүй	Категория:География Никарагуа
Ангилал:Соломоны арлуудын газарзүй	Категория:География Соломоновых Островов
Ангилал:Эдийн засгийн геологи	Категория:Геология полезных ископаемых
Ангилал:Украйны газар зүй	Категория:География Украины
Ангилал:Гүржийн газарзүй	Категория:География Грузии
Ангилал:Туркменистаны газарзүй	Категория:География Туркмении
Ангилал:Халимаг орны район	Категория:Районы Калмыкии
Ангилал:Сомали	Категория:Сомали
Ангилал:Тува орны хошуу	Категория:Кожууны Тывы
Загвар:Хойд Америкийн хөлбөмбөгийн шигшээ багууд	Шаблон:Североамериканские футбольные сборные
Ангилал:Уганда	Категория:Уганда
Ангилал:Төв Африкийн Бүгд Найрамдах Улс	Категория:Центральноафриканская Республика
Ангилал:Калгари	Категория:Калгари
Ангилал:Украйны гол мөрөн	Категория:Реки Украины
Ангилал:Португал орны гол мөрөн	Категория:Реки Португалии
Ангилал:2010 оны өвлийн олимпт оролцогсод	Категория:Участники зимних Олимпийских игр 2010 года
Ангилал:Сансрын нисэгч	Категория:Космонавты
Ангилал:Португал улсын орон нутаг	Категория:Административное деление Португалии
Ангилал:Монгол Улсын боловсрол	Категория:Образование в Монголии
Ангилал:Японы боловсрол	Категория:Образование в Японии
Ангилал:АНУ-ын уулын цаначид	Категория:Горнолыжники США
Ангилал:Австрийн уулын цаначид	Категория:Горнолыжники Австрии
Ангилал:Швейцарийн уулын цаначид	Категория:Горнолыжники Швейцарии
Ангилал:Ромын эзэн хаад	Категория:Римские императоры
Ангилал:Грекийн хүн	Категория:Персоналии:Греция
Ангилал:Нигеричүүд	Категория:Персоналии:Нигерия
Ангилал:Норвегийн хүн	Категория:Персоналии:Норвегия
Ангилал:Шинэ Зеландчууд	Категория:Персоналии:Новая Зеландия
Ангилал:Өмнөд Солонгосчууд	Категория:Персоналии:Южная Корея
Ангилал:Латвийн хүн	Категория:Латыши
Ангилал:Румынчууд	Категория:Персоналии:Румыния
Ангилал:Руандачууд	Категория:Персоналии:Руанда
Ангилал:Литвын хүн	Категория:Персоналии:Литва
Ангилал:Мароккогийн хүн	Категория:Персоналии:Марокко
Ангилал:Монголын хүн	Категория:Персоналии:Монголия
Ангилал:Бениний хүн	Категория:Персоналии:Бенин
Ангилал:Беларусийн хүн	Категория:Белорусы
Ангилал:Бразилын хүн	Категория:Персоналии:Бразилия
Ангилал:Саудын Арабчууд	Категория:Персоналии:Саудовская Аравия
Ангилал:Сенегалын хүн	Категория:Персоналии:Сенегал
Ангилал:Сент-Киттс ба Невисчүүд	Категория:Персоналии:Сент-Китс и Невис
Ангилал:Шведчүүд	Категория:Персоналии:Швеция
Ангилал:Аргентины хүн	Категория:Персоналии:Аргентина
Ангилал:Гаитийн хүн	Категория:Персоналии:Гаити
Ангилал:Эстончууд	Категория:Персоналии:Эстония
Ангилал:Этиопчууд	Категория:Персоналии:Эфиопия
Ангилал:Угандачууд	Категория:Персоналии:Уганда
Ангилал:Узбекийн хүн	Категория:Персоналии:Узбекистан
Ангилал:Энэтхэгчүүд	Категория:Персоналии:Индия
Ангилал:Япон улсын хүн	Категория:Японцы
Ангилал:Гүржийн хүн	Категория:Персоналии:Грузия
Ангилал:Төв Африкчууд	Категория:Персоналии:Центральноафриканская Республика
Ангилал:Чехословакийн хүн	Категория:Персоналии:Чехословакия
Ангилал:ОХУ-ын байт харваачид	Категория:Стрелки из лука России
Ангилал:Канадын хүн	Категория:Персоналии:Канада
Ангилал:Кенийн хүн	Категория:Персоналии:Кения
Ангилал:Кот-Дивуарын хүн	Категория:Персоналии:Кот-д’Ивуар
Ангилал:Том Конгын хүн	Категория:Персоналии:Республика Конго
Ангилал:Кувейтийн хүн	Категория:Персоналии:Кувейт
Ангилал:Их Британийн хөлбөмбөгийн дасгалжуулагчид	Категория:Футбольные тренеры Великобритании
Ангилал:Танзаничууд	Категория:Персоналии:Танзания
Ангилал:МЭӨ 323	Категория:323 год до н. э.
Ангилал:Шотландын хөлбөмбөгийн дасгалжуулагчид	Категория:Футбольные тренеры Шотландии
Ангилал:МЭӨ 356	Категория:356 год до н. э.
Ангилал:МЭӨ 384	Категория:384 год до н. э.
Ангилал:Төвөд үндэстэн	Категория:Тибетцы
Ангилал:Францын хөлбөмбөгийн дасгалжуулагчид	Категория:Футбольные тренеры Франции
Загвар:Country data Kosovo	Шаблон:Флагификация/Республика Косово
Ангилал:Финландчууд	Категория:Персоналии:Финляндия
Ангилал:Италийн хөлбөмбөгийн дасгалжуулагчид	Категория:Футбольные тренеры Италии
Ангилал:Унгарчууд	Категория:Персоналии:Венгрия
Ангилал:Сербийн хөлбөмбөгийн дасгалжуулагчид	Категория:Футбольные тренеры Сербии
Ангилал:МЭӨ 479	Категория:479 год до н. э.
Ангилал:Археологичид	Категория:Археологи
Ангилал:Инженер	Категория:Инженеры
Ангилал:Бизнесмэн	Категория:Предприниматели
Ангилал:Зөвлөлт Холбоот Улсын Маршалууд	Категория:Маршалы Советского Союза
Ангилал:Америкийн хөлбөмбөгчид	Категория:Игроки сборной США по футболу
Ангилал:Аргентины хөлбөмбөгчид	Категория:Футболисты Аргентины
Ангилал:Их Британийн ерөнхий сайд	Категория:Премьер-министры Великобритании
Ангилал:Австралийн хөлбөмбөгчид	Категория:Футболисты Австралии
Ангилал:Австрийн хөлбөмбөгчид	Категория:Футболисты Австрии
Ангилал:Бразилын хөлбөмбөгчид	Категория:Футболисты Бразилии
Ангилал:Английн хөлбөмбөгчид	Категория:Футболисты Англии
Ангилал:Филиппин	Категория:Филиппины
Загвар:Country data New Caledonia	Шаблон:Флагификация/Новая Каледония
Загвар:Country data Marshall Islands	Шаблон:Флагификация/Маршалловы Острова
Загвар:Country data Mauritania	Шаблон:Флагификация/Мавритания
Загвар:Country data Samoa	Шаблон:Флагификация/Самоа
Загвар:Country data Palau	Шаблон:Флагификация/Палау
Загвар:Country data Gabon	Шаблон:Флагификация/Габон
Загвар:Country data Djibouti	Шаблон:Флагификация/Джибути
Ангилал:Их Монгол улсын хаан	Категория:Правители Монгольской империи
Ангилал:Астраханий ханлиг	Категория:Астраханское ханство
Загвар:Country data Norfolk Island	Шаблон:Флагификация/Остров Норфолк
Загвар:Country data Guam	Шаблон:Флагификация/Гуам
Загвар:Country data Solomon Islands	Шаблон:Флагификация/Соломоновы Острова
Загвар:Country data Wallis and Futuna	Шаблон:Флагификация/Острова Уоллис и Футуна
Загвар:Country data Pitcairn Islands	Шаблон:Флагификация/Острова Питкэрн
Загвар:Country data Northern Mariana Islands	Шаблон:Флагификация/Северные Марианские острова
Ангилал:Шинэ Зеланд дуучид	Категория:Певцы и певицы Новой Зеландии
Ангилал:Монголын дуучид	Категория:Певцы и певицы Монголии
Загвар:Country data American Samoa	Шаблон:Флагификация/Американское Самоа
Ангилал:User ja-0	Категория:User ja-0
Ангилал:Британийн дуучид	Категория:Певцы и певицы Великобритании
Ангилал:Колумбын дуучид	Категория:Певцы и певицы Колумбии
Загвар:Country data Aruba	Шаблон:Флагификация/Аруба
Загвар:Country data Cook Islands	Шаблон:Флагификация/Острова Кука
Ангилал:User nl	Категория:User nl
Загвар:Country data Sudan	Шаблон:Флагификация/Судан
Ангилал:User no-1	Категория:User no-1
Ангилал:User no	Категория:User no
Загвар:Country data Chad	Шаблон:Флагификация/Чад
Ангилал:Японы эдийн засагч	Категория:Экономисты Японии
Загвар:Unbulleted list	Шаблон:Немаркированный список
Ангилал:Германы эрдэмтэд	Категория:Учёные Германии
Ангилал:Оросын эрдэмтэд	Категория:Учёные России
Ангилал:Америкийн эрдэмтэд	Категория:Учёные США
Ангилал:Шотландын эрдэмтэд	Категория:Учёные Шотландии
Ангилал:Австрийн эрдэмтэн	Категория:Учёные Австрии
Ангилал:User zh-1	Категория:User zh-1
Ангилал:Францын эрдэмтэд	Категория:Учёные Франции
Ангилал:User zh-4	Категория:User zh-4
Ангилал:User zh-3	Категория:User zh-3
Ангилал:User zh-2	Категория:User zh-2
Ангилал:Германы цэргийн зүтгэлтнүүд	Категория:Военные Германии
Ангилал:Аргентины цэргийн зүтгэлтнүүд	Категория:Военные Аргентины
Ангилал:Мароккогийн хаад	Категория:Короли Марокко
Ангилал:Шведийн хаад	Категория:Короли Швеции
Ангилал:Мэлхийнүүд	Категория:Бесхвостые
Ангилал:Италийн жүжгийн зохиолчид	Категория:Драматурги Италии
Ангилал:Далайн урсгалууд	Категория:Морские течения
Ангилал:Механик	Категория:Механика
Ангилал:Хонконгийн кино	Категория:Фильмы Гонконга
Ангилал:Азийн ард түмэн	Категория:Народы Азии
Ангилал:Японы бизнесмэн	Категория:Предприниматели Японии
Ангилал:Хятадын бизнесмэн	Категория:Предприниматели Китая
Ангилал:Армен	Категория:Армения
Ангилал:Бахрейн	Категория:Бахрейн
Ангилал:Оросын сагсан бөмбөгчид	Категория:Баскетболисты России
Ангилал:Америкийн сагсан бөмбөгчид	Категория:Баскетболисты США
Ангилал:Бутан	Категория:Бутан
Ангилал:Испанийн сагсан бөмбөгчид	Категория:Баскетболисты Испании
Ангилал:Туркийн сагсан бөмбөгчид	Категория:Баскетболисты Турции
Ангилал:Английн яруу найрагчид	Категория:Английские поэты
Ангилал:Америкийн яруу найрагчид	Категория:Поэты США
Ангилал:Персийн хаад	Категория:Персидские цари
Ангилал:Германы физикчид	Категория:Физики Германии
Ангилал:Швейцарийн физикчид	Категория:Физики Швейцарии
Ангилал:Их Британийн физикчид	Категория:Физики Великобритании
Ангилал:Австрийн физикчид	Категория:Физики Австрии
Ангилал:Италийн физикчид	Категория:Физики Италии
Ангилал:Францын физикчид	Категория:Физики Франции
Ангилал:Оросын зохион бүтээгчид	Категория:Изобретатели России
Ангилал:АНУ-ын зохион бүтээгчид	Категория:Изобретатели США
Ангилал:Маркетинг	Категория:Маркетинг
Загвар:Country data French Polynesia	Шаблон:Флагификация/Французская Полинезия
Ангилал:Олон улсын харилцаа	Категория:Международные отношения
Загвар:Country data Antigua and Barbuda	Шаблон:Флагификация/Антигуа и Барбуда
Ангилал:Италийн волейболчид	Категория:Волейболисты Италии
Загвар:Country data Gambia	Шаблон:Флагификация/Гамбия
Загвар:Country data Tonga	Шаблон:Флагификация/Тонга
Загвар:Country data Federated States of Micronesia	Шаблон:Флагификация/Микронезия
Загвар:Lang-lb	Шаблон:Lang-lb
Ангилал:Нээлт	Категория:Изобретение
Ангилал:Их Британийн жүжигчид	Категория:Актёры Великобритании
Ангилал:Бостон Селтикс багийн тоглогчид	Категория:Игроки «Бостон Селтикс»
Ангилал:Байт харваа	Категория:Стрельба из лука
Ангилал:Шарлотт Бобкэтс багийн тоглогчид	Категория:Игроки «Шарлотт Бобкэтс»
Ангилал:Хятадын жүжигчин	Категория:Актёры Китая
Ангилал:Индиана Пэйсерс багийн тоглогчид	Категория:Игроки «Индиана Пэйсерс»
Ангилал:Майами Хийт багийн тоглогчид	Категория:Игроки «Майами Хит»
Ангилал:Миннесота Тимберволвес багийн тоглогчид	Категория:Игроки «Миннесота Тимбервулвз»
Ангилал:Тусгаар тогтнох эсэх санал хураалт	Категория:Референдумы о независимости
Ангилал:Түүхэн татар улс	Категория:Тюрко-татарские государства
Ангилал:Африкийн түүхэн улсууд	Категория:Исторические государства Африки
Ангилал:АНУ-ын бобслейчид	Категория:Бобслеисты США
Ангилал:Америкийн түүхэн улсууд	Категория:Исторические государства Северной Америки
Загвар:Country data Namibia	Шаблон:Флагификация/Намибия
Ангилал:Сурган хүмүүжүүлэгч	Категория:Преподаватели
Ангилал:Японы буудлагын тамирчид	Категория:Стрелки Японии
Ангилал:Кодлолын схемүүд	Категория:Кодировки
Ангилал:Их Британийн физиологичид	Категория:Физиологи Великобритании
Ангилал:Хөлбөмбөгийн тэмцээнүүд	Категория:Чемпионаты по футболу
Ангилал:Их Британийн биохимичид	Категория:Биохимики Великобритании
Ангилал:Уламжлалт анагаах ухаан	Категория:Народная медицина
Ангилал:ФИФА-гийн ерөнхийлөгчид	Категория:Президенты ФИФА
Ангилал:Ботсваны ерөнхийлөгчид	Категория:Президенты Ботсваны
Ангилал:Беларусийн ерөнхийлөгчид	Категория:Президенты Белоруссии
Ангилал:Буудлагын спорт	Категория:Стрелковый спорт
Ангилал:Тэшүүр	Категория:Конькобежный спорт
Ангилал:Азийн спорт	Категория:Спорт в Азии
Ангилал:Хорватын ерөнхийлөгчид	Категория:Президенты Хорватии
Ангилал:Австралийн усанд сэлэгчид	Категория:Пловцы Австралии
Ангилал:Хятадын усанд сэлэгчид	Категория:Пловцы Китая
Ангилал:Сомалийн ерөнхий сайд нар	Категория:Премьер-министры Сомали
Ангилал:Германы математикчид	Категория:Математики Германии
Ангилал:Монголын сүмочид	Категория:Борцы сумо из Монголии
Ангилал:Хорватын ерөнхий сайд нар	Категория:Премьер-министры Хорватии
Ангилал:Хөдөлгөөнүүд	Категория:Общественные объединения
Ангилал:Алгоритмууд	Категория:Алгоритмы
Ангилал:Нидерландын тэшүүрчид	Категория:Конькобежцы Нидерландов
Ангилал:Өмнөд Солонгосын тэшүүрчид	Категория:Конькобежцы Южной Кореи
Ангилал:Хятадын тэшүүрчид	Категория:Конькобежцы Китая
Ангилал:Эртний Ромын яруу найрагчид	Категория:Поэты Древнего Рима
Ангилал:Австралийн олимпийн аваргууд	Категория:Олимпийские чемпионы от Австралии
Ангилал:Их Британийн олимпийн аваргууд	Категория:Олимпийские чемпионы от Великобритании
Ангилал:Исландын яруу найрагчид	Категория:Поэты Исландии
Ангилал:Сири	Категория:Сирия
Ангилал:1945 онд нас барагсад	Категория:Умершие в 1945 году
Ангилал:Италийн яруу найрагчид	Категория:Поэты Италии
Ангилал:Хэрэглээний математик	Категория:Прикладная математика
Ангилал:Японы яруу найрагч	Категория:Поэты Японии
Ангилал:Хятадын яруу найрагч	Категория:Поэты Китая
Ангилал:Чилийн яруу найрагчид	Категория:Поэты Чили
Ангилал:Францын яруу найрагчид	Категория:Поэты Франции
Ангилал:Сагсан бөмбөг	Категория:Баскетбол
Ангилал:Зөвлөлтийн сансрын нисэгч	Категория:Космонавты СССР
Ангилал:Бельгийн хүн	Категория:Персоналии:Бельгия
Ангилал:1930 онд өнгөрсөн	Категория:Умершие в 1930 году
Ангилал:ЗХУ-ын хоккейчид	Категория:Хоккеисты СССР
Ангилал:Оросын улс төрчид	Категория:Политики России
Ангилал:Канадын хоккейчид	Категория:Хоккеисты Канады
Ангилал:Францын зураачид	Категория:Художники Франции
Ангилал:Сувгууд	Категория:Каналы
Ангилал:Туркийн зохиолчид	Категория:Писатели Турции
Ангилал:Каратэ	Категория:Карате
Ангилал:Хойг	Категория:Полуострова
Ангилал:Францын хөгжмийн зохиолчид	Категория:Композиторы Франции
Ангилал:Германы хөгжмийн зохиолчид	Категория:Композиторы Германии
Ангилал:Австрийн хөгжмийн зохиолч	Категория:Композиторы Австрии
Ангилал:Вьетнамын хүн	Категория:Персоналии:Вьетнам
Ангилал:Олимпийн спортууд	Категория:Олимпийские виды спорта
Ангилал:Данийн физикчид	Категория:Физики Дании
Ангилал:Испанийн дуучид	Категория:Певцы и певицы Испании
Ангилал:Америкийн сансрын нисэгч	Категория:Астронавты США
Ангилал:Армены жүдочид	Категория:Дзюдоисты Армении
Ангилал:Оросын физикчид	Категория:Физики России
Ангилал:Грекийн хөнгөн атлетикчид	Категория:Легкоатлеты Греции
Ангилал:Физиологичид	Категория:Физиологи
Ангилал:Шинэ Зеландын хөнгөн атлетикчид	Категория:Легкоатлеты Новой Зеландии
Ангилал:Данийн хөнгөн атлетикчид	Категория:Легкоатлеты Дании
Ангилал:Германы хөнгөн атлетикчид	Категория:Легкоатлеты Германии
Ангилал:Оросын хөнгөн атлетикчид	Категория:Легкоатлеты России
Ангилал:Энэтхэгийн ерөнхий сайдууд	Категория:Премьер-министры Индии
Ангилал:АНУ-ын хөнгөн атлетикчид	Категория:Легкоатлеты США
Ангилал:Барбадосын хөнгөн атлетикчид	Категория:Легкоатлеты Барбадоса
Ангилал:ЗХУ-ын хөнгөн атлетикчид	Категория:Легкоатлеты СССР
Ангилал:Этиопын хөнгөн атлетикчид	Категория:Легкоатлеты Эфиопии
Ангилал:Австрийн хөнгөн атлетикчид	Категория:Легкоатлеты Австрии
Ангилал:Физик космологи	Категория:Физическая космология
Ангилал:Украйны хөнгөн атлетикчид	Категория:Легкоатлеты Украины
Ангилал:Ямайкын хөнгөн атлетикчид	Категория:Легкоатлеты Ямайки
Ангилал:Хятадын хөнгөн атлетикчид	Категория:Легкоатлеты Китая
Ангилал:Кенийн хөнгөн атлетикчид	Категория:Легкоатлеты Кении
Загвар:Country data North Vietnam	Шаблон:Флагификация/Северный Вьетнам
Ангилал:Тринидад ба Тобагогийн хөнгөн атлетикчид	Категория:Легкоатлеты Тринидада и Тобаго
Ангилал:Польшийн хөнгөн атлетикчид	Категория:Легкоатлеты Польши
Ангилал:Финландын хөнгөн атлетикчид	Категория:Легкоатлеты Финляндии
Ангилал:Унгарын хөнгөн атлетикчид	Категория:Легкоатлеты Венгрии
Ангилал:Кировоград муж	Категория:Кировоградская область
Ангилал:Хмельницкий муж	Категория:Хмельницкая область
Ангилал:Харьков муж	Категория:Харьковская область
Ангилал:Запорожье муж	Категория:Запорожская область
Ангилал:Днепропетровск муж	Категория:Днепропетровская область
Ангилал:Шведийн инженерүүд	Категория:Инженеры Швеции
Ангилал:Полтав муж	Категория:Полтавская область
Ангилал:Францын хөгжимчид	Категория:Музыканты Франции
Ангилал:Львов муж	Категория:Львовская область
Ангилал:Луганск муж	Категория:Луганская область
Ангилал:Украйны тамирчид	Категория:Спортсмены Украины
Ангилал:Германы дугуйчид	Категория:Велогонщики Германии
Ангилал:Испанийн тамирчид	Категория:Спортсмены Испании
Ангилал:Эртний Грекийн зохиолчид	Категория:Писатели Древней Греции
Ангилал:Ивано-Франковск муж	Категория:Ивано-Франковская область
Ангилал:Эстоны тамирчид	Категория:Спортсмены Эстонии
Ангилал:Бразилын тамирчид	Категория:Спортсмены Бразилии
Ангилал:Бельгийн тамирчид	Категория:Спортсмены Бельгии
Ангилал:Тайландын тамирчид	Категория:Спортсмены Таиланда
Ангилал:Чилийн тамирчид	Категория:Спортсмены Чили
Ангилал:Монголын зохиолчид	Категория:Писатели Монголии
Ангилал:Черновцы муж	Категория:Черновицкая область
Ангилал:Тернополь муж	Категория:Тернопольская область
Ангилал:Румыны тамирчид	Категория:Спортсмены Румынии
Ангилал:Саудын Арабын тамирчид	Категория:Спортсмены Саудовской Аравии
Ангилал:Сенегалын тамирчин	Категория:Спортсмены Сенегала
Ангилал:Шведийн тамирчид	Категория:Спортсмены Швеции
Ангилал:Хятадын тамирчид	Категория:Спортсмены Китая
Ангилал:Колумбын тамирчид	Категория:Спортсмены Колумбии
Ангилал:Австралийн зохиолч	Категория:Писатели Австралии
Ангилал:Украйны зохиолчид	Категория:Писатели Украины
Ангилал:Египетийн зохиолчид	Категория:Писатели Египта
Ангилал:Донецк муж	Категория:Донецкая область
Ангилал:Ямайкын тамирчид	Категория:Спортсмены Ямайки
Ангилал:Одесс муж	Категория:Одесская область
Ангилал:Украйны муж	Категория:Области Украины
Ангилал:Иррационал тоонууд	Категория:Иррациональные числа
Ангилал:Бүхэл тоо	Категория:Целые числа
Ангилал:Италийн хөгжмийн зохиолчид	Категория:Композиторы Италии
Ангилал:Унгарын хөгжмийн зохиолчид	Категория:Композиторы Венгрии
