Hui-chiu	Африка
Siā-hoē kiàn-chō-chú-gī	Социальный конструктивизм
Torbay	Торбей
Chìn Hiàn-hâu	Сянь-хоу (царство Цзинь, эпоха Чуньцю)
Chìn Lî-hâu	Си-хоу (царство Цзинь, эпоха Чуньцю)
Chìn Hàu-hâu	Сяо-хоу (царство Цзинь, эпоха Чуньцю)
Sîn-keng-thiàⁿ	Невралгия
O̍at-kok	Юэ (царство)
Tokati Chóng-ha̍p Chìn-heng-kio̍k	Токати (округ)
Aragaki Yui	Юи Арагаки
Hidaka Chìn-heng-kio̍k	Хидака (округ)
SMAP	SMAP
Pe̍h-tòa-hî	Обыкновенная рыба-сабля
Guī Bûn-hâu	Вэнь-хоу (царство Вэй)
Iburi Chóng-ha̍p Chìn-heng-kio̍k	Ибури
Kusiro Chóng-ha̍p Chìn-heng-kio̍k	Кусиро (округ)
Hiyama Chìn-heng-kio̍k	Хияма (округ)
Kng-bé	Текстовые данные
Cyc	Cyc
Bī-kak hē-thóng	Вкусовая сенсорная система
Pak-kiaⁿ-oē	Пекинский диалект
Cephaloscyllium variegatum	Cephaloscyllium variegatum
Nemuro Chìn-heng-kio̍k	Немуро (округ)
Rumoi Chìn-heng-kio̍k	Румои (округ)
Superfly	Superfly
Kamikawa Chóng-ha̍p Chìn-heng-kio̍k	Камикава (округ)
Ē-mn̂g Tāi-ha̍k	Сямэньский университет
Goân-chho͘ o͘-khang	Первичная чёрная дыра
Paris Descartes Tāi-ha̍k	Университет Париж Декарт
Chhui-lí	Рассуждение (логика)
Hêng-tōng-ha̍k	Праксиология
Pak-khu	Северный район
Simazu Iehisa	Симадзу Иэхиса
Tn̂g-kak-lêng	Аскалафы
Hiong-káng Lí-kang Tāi-ha̍k	Гонконгский политехнический университет
Josiah Conder	Кондер, Джосайя
Chìn Bûn-hâu	Вэнь-хоу (царство Цзинь, эпоха Чуньцю)
NCSA	Национальный центр суперкомпьютерных приложений
Hoà-chong	Макияж
Thian-kan	Небесные стволы
Tāi Bân	Минь (царство)
Chiu Bo̍k-ông	Му-ван
Totigi	Тотиги
Hiàn-chèng chú-gī	Конституционализм
Sù-it-jī Sū-kiāⁿ	Шанхайская резня 1927 года
To-hî	Сайра
Lê Thài-chó͘	Ле Лой
Tōkaidō	Токайдо
Ka-la̍h	Красный пагр
Koizora (sió-suat)	Небо любви
Wikipedia:Tāi-sài-koán	Википедия:Посольство
Kái-kek khai-hòng	Политика реформ и открытости
2006 nî 12 goe̍h	Декабрь 2006 года
Trưng Chí-moāi	Сёстры Чынг
Chhòa (sèⁿ)	Цай (фамилия)
Ko-sa	Такасаго (значения)
Tek-kok ê hêng-chèng-khu	Земли Германии
Hū-kho-ha̍k	Гинекология
Paul Kagame	Кагаме, Поль
Tī Ka-pi-thiaⁿ	Абсент (картина)
Donald Richie	Ричи, Дональд
Pí-sò͘	Рациональное число
Tō-ián	Режиссёр
ISO 3166-2:ZA	ISO 3166-2:ZA
Chhian-jī-bûn	Тысячесловие
Kau-chiān	Гоуцзянь
Lâm-lō͘-eng	Ястребиный канюк
Chu Un	Тай-цзу (Поздняя Лян)
Chiu Chiau-ông	Чжао-ван
Pû-á	Лагенария обыкновенная
Chhu-peng-tiûⁿ	Каток
Egmont Kok-ka Kong-hn̂g	Национальный парк Эгмонт
Tiān-náu bāng-lō͘	Компьютерная сеть
Siuⁿ-si-á	Акация смешанная
Passer rutilans	Рыжий воробей
Kháu-gí	Устная речь
Bîn-chú Hoán To̍k-chhâi Kok-ka Liân-ha̍p Tìn-soàⁿ	Объединённый фронт за демократию против диктатуры
Transformers	Трансформеры
Ìn-tō͘ kó͘-tián im-ga̍k	Индийская классическая музыка
365 ji̍t	Шаблон:Список дней года
San-pek Eng-tâi	Лян Шаньбо и Чжу Интай
Thih-koan-im	Те Гуаньинь
Hiong-káng Kho-ki Tāi-ha̍k	Гонконгский университет науки и технологии
Aztec Ji̍t-thaû Chio̍h	Камень Солнца
Chhî Châi-hō͘	Сюй Цайхоу
Góa ê Káu-á Miā	Моя собачья жизнь
North East Lincolnshire	Северо-Восточный Линкольншир
Lâm-bân	Наньмань
Gary Collins	Коллинз, Гэри
Hó͘-phiau Bān-kim-iû	Золотая звезда (лекарство)
Horie Mituko	Хориэ, Мицуко
Chhùi-khí ê se̍k-sún	Эрозия эмали зубов
Agnes Monica	Агнес Моника
Screencast	Скринкастинг
ISO 3166-2:ID	ISO 3166-2:ID
ISO 3166-2:CN	ISO 3166-2:CN
South Gloucestershire	Южный Глостершир
Siōng Thài	Сё Тай
Hok-an-chhī	Фуань
Hoān Lê	Фань Ли
Tāi-liân-oē	Даляньский диалект
300	300 (число)
Koan-kài-thé (khí-kho)	Вкладка (стоматология)
Wikipedia:Te̍k-sû iōng-gí	Википедия:Глоссарий
Mischa Elman	Эльман, Михаил Саулович
Tōng-bu̍t Lông-tiûⁿ	Скотный двор
Lūi-pia̍t:Tek-kok	Категория:Германия
Lūi-pia̍t:Italia	Категория:Италия
Lūi-pia̍t:Bí-kok	Категория:США
Lūi-pia̍t:Lō·-se-a	Категория:Россия
Lūi-pia̍t:Canada	Категория:Канада
Lūi-pia̍t:Liân-ha̍p Ông-kok	Категория:Великобритания
Lūi-pia̍t:Se-pan-gâ	Категория:Испания
Lūi-pia̍t:Tiong-kok	Категория:Китай
Lūi-pia̍t:Ji̍t-pún	Категория:Япония
Lūi-pia̍t:Australia	Категория:Австралия
Lūi-pia̍t:Be̍k-se-ko	Категория:Мексика
Lūi-pia̍t:Ìn-tō͘	Категория:Индия
Lūi-pia̍t:Saud ê A-la-pek	Категория:Саудовская Аравия
Lūi-pia̍t:Türkiye	Категория:Турция
Lūi-pia̍t:Lâm-hui-kok	Категория:ЮАР
Lūi-pia̍t:Ai-ki̍p	Категория:Египет
Lūi-pia̍t:Iran	Категория:Иран
Lūi-pia̍t:Aotearoa	Категория:Новая Зеландия
Lūi-pia̍t:Argentina	Категория:Аргентина
Tông-chêng	Сочувствие
Caldera de Taburiente Kok-ka Kong-hn̂g	Табуриенте
Iû-tâng	Китайское тунговое дерево
A-la-pek-gí ê hong-giân	Разновидности арабского языка
Lâm-hui Kok-ka Pán-kiû Kiû-tūi	Сборная ЮАР по крикету
Telford and Wrekin	Телфорд и Рекин
Kam-kó	Гесперидий
Wireless Distribution System	WDS
Redcar and Cleveland	Редкар и Кливленд
1120 nî-tāi	1120-е годы
Chhin Bîn Tóng	Первая Народная партия
Sin-ka-pho Hô	Сингапур (река)
Lūi-pia̍t:Afghanistan	Категория:Афганистан
Lūi-pia̍t:Algeria	Категория:Алжир
Lūi-pia̍t:Tang-kok	Категория:Австрия
Lūi-pia̍t:Bangladesh	Категория:Бангладеш
Lūi-pia̍t:Congo Bîn-chú Kiōng-hô-kok	Категория:Демократическая Республика Конго
Lūi-pia̍t:Cuba	Категория:Куба
Lūi-pia̍t:Ityop'iya	Категория:Эфиопия
Lūi-pia̍t:Ìn-nî	Категория:Индонезия
Lūi-pia̍t:Iraq	Категория:Ирак
Lūi-pia̍t:Kē-tē-kok	Категория:Нидерланды
Lūi-pia̍t:Nigeria	Категория:Нигерия
Lūi-pia̍t:Pakistan	Категория:Пакистан
Lūi-pia̍t:Polska	Категория:Польша
Lūi-pia̍t:Phû-tô-gâ	Категория:Португалия
Lūi-pia̍t:Sin-ka-pho	Категория:Сингапур
Lūi-pia̍t:Hân-kok	Категория:Южная Корея
Lūi-pia̍t:Sudan	Категория:Судан
Lūi-pia̍t:Sūi-se	Категория:Швейцария
Lūi-pia̍t:Tanzania	Категория:Танзания
Lūi-pia̍t:Thài-kok	Категория:Таиланд
Lūi-pia̍t:Ukrayina	Категория:Украина
Lūi-pia̍t:Oa̍t-lâm	Категория:Вьетнам
Lūi-pia̍t:Chhī-leng tōng-bu̍t	Категория:Млекопитающие
Lūi-pia̍t:Pâ-thiông	Категория:Пресмыкающиеся
Lūi-pia̍t:Lióng-chhe-lūi	Категория:Земноводные
Lūi-pia̍t:Chiáu	Категория:Птицы
Lūi-pia̍t:Sè-khún	Категория:Бактерии
Lūi-pia̍t:Pēⁿ-to̍k	Категория:Вирусы
Lūi-pia̍t:Si̍t-bu̍t	Категория:Растения
Lūi-pia̍t:Bu̍t-lí-ha̍k	Категория:Физика
Lūi-pia̍t:Chū-jiân kho-ha̍k	Категория:Естественные науки
Lūi-pia̍t:Seng-bu̍t-ha̍k	Категория:Биология
Lūi-pia̍t:Hoà-ha̍k	Категория:Химия
Lūi-pia̍t:Tē-kiû kho-ha̍k	Категория:Науки о Земле
Lūi-pia̍t:Le̍k-sú	Категория:История
Lūi-pia̍t:Tē-lí	Категория:География
Lūi-pia̍t:Siā-hoē	Категория:Общество
Lūi-pia̍t:Bí-su̍t	Категория:Изобразительное искусство
Lūi-pia̍t:Chong-kàu	Категория:Религия
Lūi-pia̍t:Ūn-tōng	Категория:Спорт
Lūi-pia̍t:Kang-têng-ha̍k	Категория:Техника
Lūi-pia̍t:Kho-ha̍k	Категория:Наука
Lūi-pia̍t:Liân-ha̍p-kok	Категория:ООН
Lūi-pia̍t:Europa Liân-bêng	Категория:Европейский союз
Liân-ha̍p Kui-chèng Kàu-hōe	Объединённая Реформатская церковь
Lūi-pia̍t:Sè-kài Ûi-sán	Категория:Всемирное наследие
Lūi-pia̍t:Tāi-chiòng thôan-pò͘	Категория:Средства массовой информации
Lūi-pia̍t:Kiàn-tio̍k-bu̍t	Категория:Здания и сооружения
Lūi-pia̍t:Thong-sìn	Категория:Связь
Lūi-pia̍t:Thài-khong	Категория:Космос
Tomcats (tiān-iáⁿ)	Мартовские коты (фильм, 2001)
ISO 3166-2:MY	ISO 3166-2:MY
Tu-sek hoē-siā	Кабусики-гайся
Toà-kūi	Беременность у животных
Bu̍t-gú	Моногатари
George Psalmanazar	Салманазар, Джордж
McDonald-hoà	Макдональдизация
Chiàⁿ hái-ang	Южные киты
Mercantour Kok-ka Kong-hn̂g	Меркантур
400	400 (число)
Atelomycterus marmoratus	Индийская коралловая кошачья акула
Thurrock	Таррок
Kó͘-sek	Барабанная полость
Hân (Chiàn-kok)	Хань (царство)
Àm-bé	Шифротекст
Kau-kiû	Хоккей
Beaujolais nouveau	Божоле нуво
Iâu-khòng ti̍t-seng-ki	Радиоуправляемый вертолёт
Henrietta Lacks	Лакс, Генриетта
Vermont Kiōng-hô-kok	Республика Вермонт
Kok-chè Tōng-bu̍t Hok-lī Ki-kim-hoē	Международный фонд защиты животных
2007 nî 1 goe̍h	Январь 2007 года
Manhattan Im-ga̍k Ha̍k-īⁿ	Манхэттенская музыкальная школа
Apristurus	Чёрные кошачьи акулы
Ngô͘	Моли
Kó͘-tāi Lô-má	Древний Рим
Mo͘-se-hoan-liân	Страстоцвет вонючий
Charminar	Чарминар
Hiân-ga̍k-khì	Струнные музыкальные инструменты
Epinephelus malabaricus	Epinephelus malabaricus
Hoâiⁿ-soa-tó	Хэншадао
Gê-mn̂g	Ямэнь
Hái-ang	Киты
Apristurus bucephalus	Apristurus bucephalus
Akita	Акита
Apristurus longicephalus	Большеголовая чёрная кошачья акула
2006 nî 5 goe̍h	Май 2006 года
Apristurus macrostomus	Apristurus macrostomus
Epinephelus itajara	Гуаса
Má (sèⁿ)	Ма (фамилия)
Bân-oa̍t	Миньюэ
Ìn-nî Tn̂g-lâng	Китайцы в Индонезии
Asymbolus submaculatus	Asymbolus submaculatus
Galeus priapus	Galeus priapus
Apristurus internatus	Apristurus internatus
Halaelurus sellus	Halaelurus sellus
Halaelurus maculosus	Halaelurus maculosus
Cephaloscyllium umbratile	Cephaloscyllium umbratile
Cephaloscyllium maculatum	Cephaloscyllium maculatum
Galeus cadenati	Galeus cadenati
Galeus mincaronei	Galeus mincaronei
Cephaloscyllium stevensi	Cephaloscyllium stevensi
Galeus springeri	Galeus springeri
Cephaloscyllium circulopullum	Cephaloscyllium circulopullum
Apristurus aphyodes	Apristurus aphyodes
Dinocephalosaurus orientalis	Диноцефалозавр
Cephaloscyllium pardelotum	Cephaloscyllium pardelotum
Asymbolus galacticus	Asymbolus galacticus
Cephaloscyllium pictum	Cephaloscyllium pictum
Cephaloscyllium hiscosellum	Cephaloscyllium hiscosellum
Cephaloscyllium speccum	Cephaloscyllium speccum
Cephaloscyllium cooki	Cephaloscyllium cooki
Apristurus fedorovi	Apristurus fedorovi
Galeus antillensis	Galeus antillensis
Apristurus ampliceps	Apristurus ampliceps
Cephaloscyllium albipinnum	Cephaloscyllium albipinnum
Apristurus gibbosus	Apristurus gibbosus
Scyliorhinus tokubee	Scyliorhinus tokubee
Apristurus exsanguis	Apristurus exsanguis
Apristurus investigatoris	Apristurus investigatoris
Asymbolus rubiginosus	Asymbolus rubiginosus
Asymbolus occiduus	Asymbolus occiduus
Asymbolus funebris	Asymbolus funebris
Scyliorhinus comoroensis	Scyliorhinus comoroensis
Apristurus pinguis	Apristurus pinguis
Apristurus albisoma	Apristurus albisoma
Asymbolus parvus	Asymbolus parvus
Apristurus brunneus	Коричневая кошачья акула
Apristurus sibogae	Макассарская чёрная кошачья акула
Ria Formosa	Риа-Формоза
Lūi-pia̍t:Seng-thài-ha̍k	Категория:Экология
Chhiū-phû-tô	Жаботикаба (растение)
Seymour Benzer	Бензер, Сеймур
Bengali gí-giân ūn-tōng	Борьба за статус бенгальского языка
Seⁿ-siùⁿ	Китайский зодиак
Lūi-pia̍t:Khu-pia̍t-ia̍h	Категория:Многозначные термины
Lūi-pia̍t:Olympia Ūn-tōng-hoē	Категория:Олимпийские игры
Apristurus microps	Малоглазая чёрная кошачья акула
Lūi-pia̍t:Tiat-ha̍k	Категория:Философия
Lūi-pia̍t:Sim-lí-ha̍k	Категория:Психология
Lūi-pia̍t:Ki-tok-kàu	Категория:Христианство
Lūi-pia̍t:I-su-lân-kàu	Категория:Ислам
Isikari Chìn-heng-kio̍k	Исикари (округ)
2006 nî 10 goe̍h	Октябрь 2006 года
Doneczk séng	Донецкая область
Eng-á	Орлиные
2010 nî Ko-hiông tē-tāng	Землетрясение на Тайване (2010)
Apristurus platyrhynchus	Плоскоголовая чёрная кошачья акула
Apristurus indicus	Индийская чёрная кошачья акула
Osima Chóng-ha̍p Chìn-heng-kio̍k	Осима (округ, Хоккайдо)
Apristurus japonicus	Японская чёрная кошачья акула
2007 nî 9 goe̍h	Сентябрь 2007 года
Sin Tóng	Новая партия (Тайвань)
Ankara (séng)	Анкара (ил)
Liû-liân	Дуриан
Apristurus spongiceps	Губчатая чёрная кошачья акула
Tuyên Quang	Туенкуанг (провинция)
April Winchell	Уинчелл, Эйприл
Chhńg-á	Тунцы
Chhiūⁿ	Слоновые
Rosario Fernández Figueroa	Фернандес, Росарио
O͘-lâng lú-sèng-chú-gī	Чёрный феминизм
Apristurus sinensis	Китайская чёрная кошачья акула
Apristurus kampae	Калифорнийская чёрная кошачья акула
Scyliorhinus torazame	Японская кошачья акула
Hawai‘i Hoé-soaⁿ	Волкейно
Iraq kap Levant I-su-lân-kok	Исламское государство Ирака и Леванта
Apristurus australis	Apristurus australis
Benedicta Boccoli	Бенедикта Бокколи
Jîn-bîn	Народ
Vicente Guerrero, Tlaxcala	Висенте-Герреро (Тласкала)
Apristurus profundorum	Горбатая акула
Asymbolus	Австралийские пятнистые кошачьи акулы
Cephaloscyllium	Головастые акулы
Apristurus riveri	Кубинская чёрная кошачья акула
Apristurus herklotsi	Филиппинская чёрная кошачья акула
Apristurus saldanha	Южноафриканская чёрная кошачья акула
Apristurus manis	Призрачная чёрная кошачья акула
Khé-bông	Просвещение
Grapheme	Графема
Jû Tāi-iû	Юй Даю
Pashtun-lâng	Пуштуны
Thiago Lacerda	Тьяго Ласерда
Cephaloscyllium silasi	Индийская головастая акула
Cephaloscyllium sufflans	Надувающаяся головастая акула
Kò-thé-kûn	Популяция
Scyliorhinus garmani	Коричневопятнистая кошачья акула
Scyliorhinus boa	Карибская кошачья акула
Scyliorhinus hesperius	Центральноамериканская кошачья акула
Scyliorhinus cervigoni	Западноафриканская кошачья акула
Scyliorhinus capensis	Южноафриканская кошачья акула
Scyliorhinus haeckelii	Бразильская кошачья акула
Khoa-hū	Куа-фу
Parmaturus melanobranchus	Южнокитайская кошачья акула-парматурус
Cephaloscyllium ventriosum	Калифорнийская раздувающаяся акула
Cephaloscyllium isabellum	Новозеландская кошачьеголовая акула
Galeus polli	Африканский пилохвост
Galeus eastmani	Китайский пилохвост
Asymbolus analis	Австралийская пятнистая кошачья акула
Apristurus parvipinnis	Короткоплавниковая чёрная кошачья акула
Galeus nipponensis	Японский пилохвост
Ceylon jio̍k-kùi	Корица
Khe-ko-á	Закко
Halaelurus natalensis	Тигровая пятнистая акула
Galeus arae	Антильский пилохвост
Halaelurus buergeri	Японская пятнистая акула
Cephaloscyllium laticeps	Австралийская головастая акула
Halaelurus lineatus	Полосатая пятнистая акула
Apristurus nasutus	Носатая чёрная кошачья акула
Scyliorhinus torrei	Кубинская кошачья акула
Halaelurus boesemani	Веснушчатая акула
Galeus schultzi	Филиппинский пилохвост
Conrad Bain	Бэйн, Конрад
Siang-tan-ūi	Биграммный шифр
Abu Bakr al-Baghdadi	Абу Бакр аль-Багдади
Asymbolus pallidus	Asymbolus pallidus
Peh-kak	Бадьян настоящий
Pang-bô͘:Location map New Brunswick	Шаблон:ПозКарта Канада Нью-Брансуик
Pang-bô͘:Location map USA Florida	Шаблон:ПозКарта США Флорида
Pang-bô͘:Location map USA California	Шаблон:ПозКарта США Калифорния
Pang-bô͘:Location map USA Nevada	Шаблон:ПозКарта США Невада
Pang-bô͘:Location map USA New York	Шаблон:ПозКарта США Нью-Йорк
Pang-bô͘:Location map USA Texas	Шаблон:ПозКарта США Техас
Koán-lí-ha̍k	Менеджмент
Kûn-toà chu-pún-chú-gī	Кумовской капитализм
Lūi-pia̍t:Bûn-hoà	Категория:Культура
Lūi-pia̍t:Tāi-lio̍k	Категория:Континенты
Lūi-pia̍t:Tē-chit-ha̍k	Категория:Геология
Lūi-pia̍t:Lia̍t-toaⁿ	Категория:Списки
Cephaloscyllium fasciatum	Полосатая головастая акула
Pedro Paulet	Паулет, Педро
Khóng Chôaⁿ	Кун Цюань
Tân-tiâu	Династия Чан
Kun-lām	Корабль
Bêng-tī	Период Мэйдзи
Chò-goe̍h-lāi	Цзоюэцзы
Pang-bô͘:Thài-iông-hē	Шаблон:Солнечная система
Wikipedia:Wikipedians	Википедия:Википедист
Chè-bū	Долг
Choh-sit	Земледелие
Chū-ngó͘	Самость
Tek-kok jîn-bu̍t lia̍t-toaⁿ	Портал:Германия/Список Немцев
Há-lih Phá-thò (jîn-bu̍t)	Гарри Поттер
Chio̍h-kiàm	Пиррозия язычная
Chhn̂g-kiû	Бильярд
Micronesia	Микронезия
Huziko Huzio	Фудзико Фудзио
Pat-kiok	Фтириаз
Kevin Bacon	Бэйкон, Кевин
S. Scott Bullock	Буллок, Скотт
Scomber	Скумбрии
Anna Rita Del Piano	Дель Пиано, Анна Рита
Chú-khoân kok-ka	Суверенное государство
Zayn Malik	Малик, Зейн
Harry Styles	Стайлз, Гарри
Sarah Flannery	Флэннери, Сара
Lūi-pia̍t:Wikipedia bot	Категория:Участники:Боты
Apristurus micropterygeus	Apristurus micropterygeus
Lūi-pia̍t:Chiàu kok-ka chok ê hun-lūi	Категория:Народы по странам
Kī-jîn	Великан
Tiong-khu	Центральный район
Ah	Утки
Cephaloscyllium zebrum	Cephaloscyllium zebrum
Le̍k Tóng	Зелёные
Ivatan lâng	Иватаны
Tāi-pán	Осака (значения)
Hái-sai	Морские львы
Khóng-chhiok	Павлины
Lūi-pia̍t:Tek-kok jîn-bu̍t	Категория:Персоналии:Германия
Lūi-pia̍t:Bí-kok jîn-bu̍t	Категория:Персоналии:США
Lūi-pia̍t:Ián-goân	Категория:Актёры
Lūi-pia̍t:Tang-kok jîn-bu̍t	Категория:Персоналии:Австрия
Lūi-pia̍t:Liân-ha̍p Ông-kok jîn-bu̍t	Категория:Персоналии:Великобритания
Lūi-pia̍t:Hoat-kok jîn-bu̍t	Категория:Персоналии:Франция
Lūi-pia̍t:Sūi-se jîn-bu̍t	Категория:Персоналии:Швейцария
Lūi-pia̍t:Dan-kok jîn-bu̍t	Категория:Персоналии:Дания
Lūi-pia̍t:Italia jîn-bu̍t	Категория:Персоналии:Италия
Lūi-pia̍t:Tiān-iáⁿ tō-ián	Категория:Кинорежиссёры
Lūi-pia̍t:Tek-kok oē-ka	Категория:Художники Германии
Lūi-pia̍t:LGBT	Категория:ЛГБТ
Pang-bô͘:Tl	Шаблон:Tl
Pang-bô͘:Userbox	Шаблон:Userbox
Chhut-pán	Издательское дело
Susan Egan	Иган, Сьюзан
Lūi-pia̍t:Bāng-ia̍h liû-lám-khì	Категория:Браузеры
Pang-bô͘:Wikipedialang	Шаблон:Wikipedialang
Pang-bô͘:In the news	Шаблон:Актуальные события
Lūi-pia̍t:Hoat-lu̍t	Категория:Право
Lūi-pia̍t:Kok-ka	Категория:Страны
Lūi-pia̍t:Keng-chè-ha̍k	Категория:Экономика
Chià-thn̂g	Сахароза
Wikipedia:Hêng-chèng jîn-oân	Википедия:Администраторы
Lūi-pia̍t:Kazakhstan	Категория:Казахстан
Lūi-pia̍t:Jîn-bu̍t	Категория:Люди
Lūi-pia̍t:Chit-gia̍p	Категория:Профессии
Lūi-pia̍t:Koh-khóan chit-gia̍p ê jîn-bu̍t	Категория:Люди по профессиям
Wikipedia:Bot	Википедия:Бот
Lūi-pia̍t:Sî-kan	Категория:Время
Lūi-pia̍t:Chū-jiân	Категория:Природа
Lūi-pia̍t:Si̍t-bu̍t-ha̍k	Категория:Ботаника
Lūi-pia̍t:Kang-têng	Категория:Инженерия
Lūi-pia̍t:Châi-liāu	Категория:Материалы
Lūi-pia̍t:Sîn-keng hē-thóng	Категория:Нервная система
Lūi-pia̍t:Kái-phò-ha̍k	Категория:Анатомия
Lūi-pia̍t:I-ha̍k	Категория:Медицина
Wikipedia:Gú-giân liân-kiat	Википедия:Интервики
Lūi-pia̍t:Chèng-tī	Категория:Политика
Lūi-pia̍t:Kàu-io̍k	Категория:Образование
Lūi-pia̍t:Gē-su̍t	Категория:Искусство
Lūi-pia̍t:Nńg-thé	Категория:Программное обеспечение
Ai-ki̍p	Египет
Lia̍t-ông-kí	Книга Царей
Yulia Lipnitskaya	Липницкая, Юлия Вячеславовна
Lūi-pia̍t:Tiat-ha̍k-ka	Категория:Философы
Lūi-pia̍t:Thóng-kè-ha̍k	Категория:Статистика
Pang-bô͘:Bot	Шаблон:Bot
Edward Moss	Мосс, Эдвард
Canada	Канада
Lūi-pia̍t:Magyar-kok	Категория:Венгрия
Lūi-pia̍t:Belgien	Категория:Бельгия
Lūi-pia̍t:Ku-pí-lō͘	Категория:Республика Кипр
Lūi-pia̍t:Česko	Категория:Чехия
Lūi-pia̍t:Dan-kok	Категория:Дания
Lūi-pia̍t:Eesti	Категория:Эстония
Lūi-pia̍t:Suomi	Категория:Финляндия
Lūi-pia̍t:Hi-lia̍p	Категория:Греция
Lūi-pia̍t:Peng-tē	Категория:Исландия
Lūi-pia̍t:Lietuva	Категория:Литва
Lūi-pia̍t:Sverige	Категория:Швеция
Lūi-pia̍t:Slovensko	Категория:Словакия
Lūi-pia̍t:Slovenia	Категория:Словения
Wikipedia:Tù-chok-koân	Википедия:Авторские права
Lūi-pia̍t:Biān-chek tan-ūi	Категория:Единицы измерения площади
Kok-chè-hoat	Международное право
Lūi-pia̍t:Hòa-ha̍k-ka	Категория:Химики
Akkad	Аккад
Lūi-pia̍t:Chiàn-cheng	Категория:Войны
Lūi-pia̍t:Tiān-chú iû-hì	Категория:Компьютерные игры
Lūi-pia̍t:Iû-hì	Категория:Игры
Cephaloscyllium sarawakensis	Cephaloscyllium sarawakensis
Lūi-pia̍t:Berlin	Категория:Берлин
Pang-bô͘:Flagicon	Шаблон:Флаг
Lūi-pia̍t:Au-chiu kok-ka	Категория:Страны Европы
Lūi-pia̍t:Au-chiu	Категория:Европа
Pang-chān:Iōng-chiá siat-tēng	Справка:Настройки
Portal:Sin-bûn sū-kiāⁿ	Портал:Текущие события
Pang-bô͘:Documentation	Шаблон:Doc
Model	Модель (профессия)
Lūi-pia̍t:Wikipedia lâng	Категория:Википедия:Участники
Wikipedia:Siā-lí mn̂g-chhùi-kháu	Википедия:Портал сообщества
Lūi-pia̍t:User languages	Категория:Википедия:Участники по языкам
Wikipedia:Tiong-li̍p ê koan-tiám	Википедия:Нейтральная точка зрения
Wikipedia:Phí	Википедия:Заготовка статьи
Wikipedia:Teng-kiû bûn-chiuⁿ	Википедия:К созданию
Sái-hō	Шифр
Sêng Chāi-ki	Сон Джэги
Aishah	Аиша бинт Абу Бакр
Gû	Крупный рогатый скот
Galeus atlanticus	Galeus atlanticus
Khì-gia̍p	Предпринимательство
Wikipedia:Choán-ia̍h	Википедия:Перенаправления
Pang-bô͘:Softredirect	Шаблон:Soft redirect
Pang-bô͘:Delete	Шаблон:К быстрому удалению
Lūi-pia̍t:The-ní-suh soán-chhiú	Категория:Теннисисты
Lūi-pia̍t:Ki-su̍t	Категория:Технология
Lūi-pia̍t:World Wide Web	Категория:Всемирная паутина
Lūi-pia̍t:Ûi-thoân-ha̍k	Категория:Генетика
Lūi-pia̍t:Gí-giân	Категория:Языки
Lūi-pia̍t:Le̍k-hoat	Категория:Календарь
Pang-chān:Khui sin ia̍h	Википедия:Как создать статью
Lūi-pia̍t:Wikipedia	Категория:Википедия
Lūi-pia̍t:Kok-chióng gí-giân ê Wikipedia	Категория:Разделы Википедии
Bovinae	Бычьи
Wikipedia:General disclaimer	Википедия:Отказ от ответственности
Lūi-pia̍t:Bī sik-ín ê ia̍h.	Категория:Неиндексируемые страницы
Lūi-pia̍t:Sit-khì tóng-àn liân-kiat ê ia̍h.	Категория:Страницы со ссылками на отсутствующие файлы
Lūi-pia̍t:Tiān-náu kho-ha̍k-ka	Категория:Учёные в области информатики
Lūi-pia̍t:Kok-kok ê siâⁿ-chhī	Категория:Города по странам
Wikipedia:Statistics	Википедия:Статистика
Wikipedia:Siá-chok ê kui-hoān	Википедия:Оформление статей
Yuri	Юри (значения)
Pang-bô͘:Navbox	Шаблон:Navbox
Ka-hō͘-pēⁿ-pâng	Отделение реанимации и интенсивной терапии
Chèng-gī	Правосудие
Wikipedia:Siau-sit	Проект:Вики-Курьер
Don Keefer	Кифер, Дон
Lūi-pia̍t:Kiàn-gī ha̍p-pèng ê bûn-chiuⁿ	Категория:Википедия:Кандидаты на объединение
Lūi-pia̍t:The-ní-suh	Категория:Теннис
Kim-koe	Тыква
Pan	Пан
Pang-bô͘:!-	Шаблон:!-
Pang-bô͘:Tnavbar	Шаблон:Tnavbar
Pang-bô͘:Void	Шаблон:Пустой шаблон
Pang-bô͘:Unicode	Шаблон:Unicode
Pang-bô͘:Smallcaps	Шаблон:Smallcaps
Pang-bô͘:Clear	Шаблон:Clear
Pang-bô͘:Nowrap	Шаблон:Nobr
Wikipedia:Só͘-ū ê Wikipedia pán-pún lóng èng-kai ū ê bûn-chiuⁿ	Википедия:Список статей, которые должны быть во всех языковых версиях
Lūi-pia̍t:Hui-chiu	Категория:Африка
Lūi-pia̍t:7 goe̍h	Категория:Июль
Lūi-pia̍t:Sò͘	Категория:Числа
Lūi-pia̍t:6 goe̍h	Категория:Июнь
Lūi-pia̍t:Tiān-chú-ha̍k	Категория:Электроника
Lūi-pia̍t:Sèng-keng	Категория:Библия
Lūi-pia̍t:Chheh	Категория:Книги
Lūi-pia̍t:Goe̍h	Категория:Месяцы
Pang-bô͘:Wikisource	Шаблон:Викитека
Pang-bô͘:Babel	Шаблон:Babel
Pang-bô͘:Commons	Шаблон:Commons
Pang-bô͘:Reflist	Шаблон:Примечания
