अफ़्रीका	Африка
पाल तारामंडल	Паруса (созвездие)
रियान गिग्स	Гиггз, Райан
मकर तारामंडल	Козерог (созвездие)
महाश्वान तारामंडल	Большой Пёс
त्रिशंकु तारामंडल	Южный Крест
सारस तारामंडल	Журавль (созвездие)
त्रिकोण तारामंडल	Треугольник (созвездие)
वृष तारामंडल	Телец (созвездие)
वृक तारामंडल	Волк (созвездие)
कुम्भ तारामंडल	Водолей (созвездие)
जलसर्प तारामंडल	Гидра (созвездие)
तुला तारामंडल	Весы (созвездие)
मेष तारामंडल	Овен (созвездие)
गरुड़ तारामंडल	Орёл (созвездие)
श्रेणी:जिराफ़ तारामंडल	Категория:Жираф (созвездие)
श्रेणी:कन्या तारामंडल	Категория:Дева (созвездие)
गॉर्डन ब्राउन	Браун, Гордон
हाल प्रभाव	Эффект Холла
स्कॉटिश नैशनलिस्ट पार्टी	Шотландская национальная партия
११००	1100 год
किम जोंग-इल	Ким Чен Ир
प्लेस्टेशन २	PlayStation 2
प्लेस्टेशन ३	PlayStation 3
कार्डिफ़	Кардифф
आवर्त सारणी	Периодическая система химических элементов
रॉबर्ट मुगाबे	Мугабе, Роберт
एट चिह्न	@
जॉर्जटाउन, गयाना	Джорджтаун
किन्नर (हीन ग्रह)	Кентавры (астероиды)
आत्महत्या	Самоубийство
ड्वेन जॉनसन	Джонсон, Дуэйн
सूअर	Кабаны
दर्शिल्दो	Фаллоимитатор
11 सितम्बर 2001 के हमले	Террористические акты 11 сентября 2001 года
सरीसृप	Пресмыкающиеся
सेक्स खिलौना	Сексуальные игрушки
कृंतक	Грызуны
कबूतर	Голубиные
स्पेनी गृहयुद्ध	Гражданская война в Испании
आर्किया	Археи
अन्धता	Слепота
जीवाणु	Бактерии
वृक्ष	Дерево
प्रोटिस्ट	Протисты
उभयचर	Земноводные
रज्जुकी	Хордовые
एनोनिमस	Анонимус
क्रांति	Революция
कर्क नीहारिका	Крабовидная туманность
चीज़ (पाश्चात्य पनीर)	Сыр
